d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2018-2019,146946.15,148470.38
1_facilities_and_construction,2019-2020,52480.77,52667.37
11_defence,2020-2021,72145.33,68745.70
11_defence,2021-2022,32266.67,30224.41
2_professional_services,2018-2019,300307.06,303620.09
2_professional_services,2019-2020,282336.94,277729.62
2_professional_services,2020-2021,13086757.62,12461768.14
2_professional_services,2021-2022,25163712.36,23329120.97
3_information_technology,2017-2018,29335925.43,30095872.02
3_information_technology,2018-2019,31012916.37,31499797.76
3_information_technology,2019-2020,29834565.98,29575397.64
3_information_technology,2020-2021,57482748.85,54621776.35
3_information_technology,2021-2022,70598468.86,65492707.45
9_human_capital,2017-2018,24998.99,25588.27
9_human_capital,2018-2019,24860.00,25104.60
9_human_capital,2020-2021,24860.00,23832.26
9_human_capital,2021-2022,24860.00,23430.93
