owner_org,d_fiscal_year,total
csc-scc,2018-2019,2714.9982208029196
csc-scc,2019-2020,8212.308667883211
csc-scc,2020-2021,8189.870666058395
dnd-mdn,2017-2018,84420
dnd-mdn,2018-2019,84420
dnd-mdn,2019-2020,29142.246575342466
rcmp-grc,2017-2018,18713.75342969777
rcmp-grc,2018-2019,45235.231800262816
rcmp-grc,2019-2020,45359.163942181345
rcmp-grc,2020-2021,45235.231800262816
ssc-spc,2017-2018,523370.93285766634
ssc-spc,2018-2019,1118179.7380119218
ssc-spc,2019-2020,1121243.244143461
ssc-spc,2020-2021,1118179.7380119218
