d_most_recent_category,total,percentage
1_facilities_and_construction,11016582288.841225,0.6910909514893652
2_professional_services,3440138459.843052,0.21580636345595391
3_information_technology,575140914.1384975,0.036079672549175476
5_transportation_and_logistics,347225174.8322241,0.021782089051240905
6_industrial_products_and_services,189123137.4613682,0.01186405053672764
10_office_management,158679950.81626943,0.009954292113170072
8_security_and_protection,140754619.32376054,0.008829802314780586
9_human_capital,43455452.4105519,0.002726042357458577
NA,25186989.861140903,0.0015800273017449367
7_travel,4357412.3594289925,2.733486824275382e-4
4_medical,212972.2130243475,1.3360147955221555e-5
