owner_org,d_fiscal_year,total
aafc-aac,2017-2018,13288.20
aafc-aac,2019-2020,61240.20
aafc-aac,2020-2021,556676.53
aafc-aac,2021-2022,45543.65
cbsa-asfc,2021-2022,132221.46
cfia-acia,2017-2018,1167809.46
cfia-acia,2018-2019,1103428.93
cfia-acia,2019-2020,1106452.02
cfia-acia,2020-2021,1194875.91
cfia-acia,2021-2022,1153276.58
cgc-ccg,2017-2018,13597.50
csa-asc,2020-2021,268126.66
csa-asc,2021-2022,174849.80
csc-scc,2017-2018,483965.98
csc-scc,2018-2019,123501.55
csc-scc,2019-2020,319471.92
csc-scc,2020-2021,272045.06
csc-scc,2021-2022,232518.04
dfatd-maecd,2017-2018,28840.17
dfatd-maecd,2018-2019,618159.15
dfatd-maecd,2019-2020,903221.28
dfatd-maecd,2021-2022,542823.75
dfo-mpo,2017-2018,79786.32
dfo-mpo,2018-2019,76910.47
dnd-mdn,2017-2018,10049865.60
dnd-mdn,2018-2019,12492581.71
dnd-mdn,2019-2020,5080484.93
dnd-mdn,2020-2021,4455029.40
dnd-mdn,2021-2022,1630134.65
ec,2017-2018,2279378.43
ec,2018-2019,1194337.27
ec,2019-2020,34445.17
ec,2020-2021,34351.06
ec,2021-2022,16167.00
hc-sc,2018-2019,73399.97
hc-sc,2019-2020,160694.56
nrc-cnrc,2017-2018,1576504.01
nrc-cnrc,2018-2019,2452672.20
nrc-cnrc,2019-2020,1338889.82
nrc-cnrc,2020-2021,1256960.37
nrc-cnrc,2021-2022,760604.12
pc,2017-2018,147837.65
pc,2018-2019,4050.35
phac-aspc,2021-2022,89796.18
pwgsc-tpsgc,2017-2018,16054907.25
pwgsc-tpsgc,2018-2019,8377025.44
pwgsc-tpsgc,2019-2020,4595178.06
pwgsc-tpsgc,2020-2021,4098802.01
pwgsc-tpsgc,2021-2022,1285568.31
rcmp-grc,2017-2018,172179.58
rcmp-grc,2018-2019,138931.86
rcmp-grc,2019-2020,149631.50
rcmp-grc,2020-2021,118673.31
rcmp-grc,2021-2022,120323.28
ssc-spc,2019-2020,23342.33
