d_most_recent_category,total,percentage
2_professional_services,175806872.66510314,0.2812221598509524
1_facilities_and_construction,171868309.1173106,0.2749220003018411
6_industrial_products_and_services,97865790.6057071,0.15654694604621675
3_information_technology,80009141.28763711,0.12798329883036214
5_transportation_and_logistics,48078924.96307714,0.07690745484782323
10_office_management,19010963.001101546,0.030410097142223598
9_human_capital,18956702.176159464,0.030323301067905307
8_security_and_protection,12270636.144844227,0.019628213317756268
7_travel,879419.3180545454,0.0014067265760938667
4_medical,214246.39284634762,3.4271034131468873e-4
NA,191979.27884931507,3.0709167751067783e-4
