owner_org,overall_total
phac-aspc,5030739498.87
csc-scc,1204847778.71
dnd-mdn,1077761127.83
vac-acc,369178093.76
isc-sac,229741593.36
tbs-sct,207516395.77
hc-sc,133384916.24
cbsa-asfc,101481413.57
cic,57556570.64
rcmp-grc,26756700.19
cfia-acia,9203242.54
cra-arc,5013599.81
esdc-edsc,4892651.36
tc,4050484.33
dfo-mpo,4012987.33
elections,3887636.19
nrc-cnrc,3510440.75
statcan,2761612.86
dfatd-maecd,2511814.80
aandc-aadnc,2445392.54
aafc-aac,2434809.98
jus,937986.57
pc,781933.21
csa-asc,592939.24
nrcan-rncan,308045.26
cas-satj,296337.37
ec,251209.29
pwgsc-tpsgc,247527.09
cer-rec,243444.28
cnsc-ccsn,219900.87
ppsc-sppc,112833.99
ic,99792.86
cihr-irsc,69043.00
nserc-crsng,46858.06
oag-bvg,33900.00
ssc-spc,29315.41
oic-ci,24949.57
opc-cpvp,24860.00
fin,20975.63
ps-sp,14511.56
wage,10922.62
osgg-bsgg,10897.36
crtc,6871.26
nsira-ossnr,1694.89
osfi-bsif,465.16
