owner_org,overall_total
phac-aspc,3521836908.22
csc-scc,985598933.23
dnd-mdn,842262567.58
isc-sac,175611609.03
vac-acc,159157272.11
hc-sc,101514644.01
cbsa-asfc,89776338.32
cic,23431312.76
rcmp-grc,21155931.54
cfia-acia,5979053.07
cra-arc,3740397.34
esdc-edsc,3663761.82
tc,3039679.91
dfo-mpo,3035803.32
aandc-aadnc,2445392.54
dfatd-maecd,2059360.37
aafc-aac,1468434.46
statcan,1213515.96
nrc-cnrc,1150953.2
jus,826525.77
pc,554814.02
csa-asc,444069.64
cas-satj,296337.37
ec,214246.39
pwgsc-tpsgc,212972.21
nrcan-rncan,179805.09
cnsc-ccsn,179067.93
ssc-spc,172953.88
tbs-sct,154468.92
cer-rec,153625.05
elections,56936.65
cihr-irsc,56556.5
nserc-crsng,46858.06
ppsc-sppc,29550
opc-cpvp,24860
fin,20975.63
ic,18696.18
oag-bvg,16950
wage,10922.62
osgg-bsgg,8719.08
oic-ci,7157.66
ps-sp,6009.6
