owner_org,d_fiscal_year,total,total_constant_2019_dollars
aafc-aac,2018-2019,12593.29,12785.57
aafc-aac,2019-2020,12515.62,12394.13
aafc-aac,2020-2021,13116.09,12475.81
csa-asc,2020-2021,14168.94,13375.20
csa-asc,2021-2022,30826.40,29148.25
csc-scc,2019-2020,11404.84,11275.01
dfo-mpo,2017-2018,189227.33,193687.81
dfo-mpo,2018-2019,1311789.74,1333249.22
dfo-mpo,2019-2020,273178.98,269307.20
dfo-mpo,2020-2021,161330.75,153678.38
dfo-mpo,2021-2022,60722.12,56737.01
dnd-mdn,2017-2018,12405.68,12709.63
dnd-mdn,2018-2019,4054672.69,4111971.46
dnd-mdn,2019-2020,602722.78,598755.84
dnd-mdn,2020-2021,4127996.53,3934017.28
dnd-mdn,2021-2022,158523.61,146531.19
ec,2017-2018,137265.13,140500.75
ec,2018-2019,400035.85,406813.53
ec,2019-2020,403124.72,400706.20
ec,2020-2021,340087.90,323595.01
ec,2021-2022,309805.90,287637.74
hc-sc,2018-2019,68413.59,69086.71
hc-sc,2019-2020,7957.17,7870.93
hc-sc,2020-2021,9522.51,9052.77
nrc-cnrc,2018-2019,4165.44,4228.41
nrc-cnrc,2019-2020,18229.81,17915.15
nrc-cnrc,2020-2021,28708.33,27156.88
nrc-cnrc,2021-2022,5925.03,5459.91
pc,2018-2019,90825.00,91818.67
pc,2021-2022,2688.14,2427.92
phac-aspc,2019-2020,128336.25,127500.33
phac-aspc,2020-2021,9959.46,9378.01
phac-aspc,2021-2022,68966.34,64031.46
pwgsc-tpsgc,2017-2018,8695.06,8903.28
pwgsc-tpsgc,2018-2019,911378.93,924906.80
pwgsc-tpsgc,2019-2020,1349159.63,1334078.87
pwgsc-tpsgc,2020-2021,1873345.45,1779993.75
pwgsc-tpsgc,2021-2022,1110194.00,1030125.59
rcmp-grc,2017-2018,17278.75,17686.05
rcmp-grc,2018-2019,31608.90,31962.07
