d_vendor_name,overall_total
CANADIAN CORPS OF COMMISSIONAIRES,1245689945.44
GARDA CANADA SECURITY,60445549.51
MAGELLAN AEROSPACE,43784897.18
PALADIN GROUP,36913712.04
G4S SECURITY SERVICES,33885688.50
HFI PYROTECHNICS,24549603.56
GARDA SECURITY GROUP,21272261.12
JANKEL TACTICAL SYSTEMS,14583528.00
SEAWATCH,10490998.05
LLOYD LIBKE LAW ENFORCEMENT SALES,9596447.44
ULTRA ELECTRONICS,9458755.25
OLIN,8792157.56
LE CORPS CANADIEN DES,7736053.43
TTC GP AND NOTRA JOINT VENTURE,7500000.00
CHUBB EDWARDS,7142609.31
SIEMENS,5620496.22
NEPTUNE SECURITY SERVICES,5334213.82
TYCO INTEGRATED FIRE SECURITY,5066990.28
IBM CANADA,4858661.81
DALHOUSIE UNIVERSITY,4800328.77
SNC LAVALIN,4312975.10
SUMMIT CANADA DISTRIBUTORS,2608174.25
RAMPART INTERNATIONAL,1837865.12
CONVERGINT TECHNOLOGIES,1572870.44
GREATER TORONTO AIRPORT AUTHORITY,1380707.40
UNITED STATES DEPARTMENT OF THE AIR FORCE,1164440.28
ADGA GROUP,918821.35
KYNDRYL CANADA,825323.43
MOBILE RESOURCE GROUP,793704.81
M D CHARLTON,759236.53
ADVANCED BUSINESS INTERIORS,593740.57
ACME FUTURE SECURITY CONTROLS,582129.47
AINSWORTH,447304.96
HONEYWELL,438142.92
FELIX TECHNOLOGY,423740.94
THE MASHA KRUPP TRANSLATION GROUP,363999.99
GENESIS INTEGRATION,361705.83
TERAMACH TECHNOLOGIES,320893.99
DELCO AUTOMATION,318340.92
VISIONTEC,295758.24
TPG TECHNOLOGY CONSULTANTS,288203.12
NOTRA,217211.00
AV TECH,189777.70
NUA OFFICE,183442.61
UNISOURCE,170636.30
TROY LIFE FIRE SAFETY,162426.54
METOCEAN TELEMATICS,158976.00
VALCOM CONSULTING,156553.08
RHEINMETALL,129780.00
TOROMONT,128624.96
BROOKFIELD GLOBAL INTEGRATED SOLUTIONS,118680.70
TRM TECHNOLOGIES,105456.59
QMR,103368.51
ALTIS HUMAN RESOURCES,103123.80
RHEA,101773.59
9275 0181 QUEBEC,97352.79
DSS MARINE,95426.83
WESCO DISTRIBUTION CANADA,94196.80
GRAYBRIDGE INTERNATIONAL CONSULTING,85343.53
TEKNION,75454.60
INSA,65878.97
BAE SYSTEMS,53495.26
SCALAR DECISIONS,51484.07
LANGUAGE RESEARCH DEVELOPMENT GROUP,48098.58
MAXSYS STAFFING AND CONSULTING,34135.60
CUMMINS CANADA,32024.50
ACCESS 2 NETWORKS,29651.22
UNIVERSITY OF BRITISH COLUMBIA,27200.45
ECOLE DE LANGUES ABCE,26292.32
GOLDER ASSOCIATES,25782.00
HOULE ELECTRIC,25777.50
RAYTHEON,25089.61
SUN LIFE ASSURANCE COMPANY,24835.63
JOHNSON CONTROLS CANADA,23940.00
ECOLE DE LANGUES LA CITE,23220.34
INTEGRA NETWORKS,23059.50
BROOKFIELD ASSET MANAGEMENT,21344.18
CDW CANADA,18191.31
MORPHO CANADA,16192.90
CANON,16034.26
ANIXTER CANADA,16032.44
TELUS CANADA,15523.20
STANTEC,14989.45
TESTFORCE SYSTEMS,12958.05
CORADIX TECHNOLOGY CONSULTING,12497.80
CANADIAN LEASEBACK,12216.20
TELEDYNE,11999.15
FSC,11302.82
AON REED STENHOUSE,11300.00
STONEWORKS TECHNOLOGIES,8474.68
THALES,2071.88
