d_vendor_name,d_fiscal_year,total
9275 0181 QUEBEC,2017-2018,11635.47
9275 0181 QUEBEC,2018-2019,12931.82
9275 0181 QUEBEC,2019-2020,12998.50
9275 0181 QUEBEC,2020-2021,59787.00
ACCESS 2 NETWORKS,2017-2018,10077.00
ACCESS 2 NETWORKS,2018-2019,10077.00
ACCESS 2 NETWORKS,2019-2020,9497.22
ACME FUTURE SECURITY CONTROLS,2017-2018,59118.75
ACME FUTURE SECURITY CONTROLS,2018-2019,148414.46
ACME FUTURE SECURITY CONTROLS,2019-2020,72891.03
ACME FUTURE SECURITY CONTROLS,2020-2021,229046.48
ADGA GROUP,2017-2018,296405.19
ADGA GROUP,2018-2019,172869.35
ADGA GROUP,2019-2020,213579.24
ADGA GROUP,2020-2021,96994.13
ADVANCED BUSINESS INTERIORS,2020-2021,96687.11
AINSWORTH,2018-2019,27145.66
AINSWORTH,2020-2021,9812.23
ALTIS HUMAN RESOURCES,2019-2020,103123.80
AON REED STENHOUSE,2017-2018,10373.77
AON REED STENHOUSE,2018-2019,926.23
AV TECH,2017-2018,46048.64
AV TECH,2020-2021,53612.65
BAE SYSTEMS,2018-2019,53495.26
BROOKFIELD ASSET MANAGEMENT,2018-2019,20890.05
BROOKFIELD ASSET MANAGEMENT,2019-2020,454.13
BROOKFIELD GLOBAL INTEGRATED SOLUTIONS,2017-2018,23228.64
BROOKFIELD GLOBAL INTEGRATED SOLUTIONS,2018-2019,26388.07
BROOKFIELD GLOBAL INTEGRATED SOLUTIONS,2019-2020,27028.89
BROOKFIELD GLOBAL INTEGRATED SOLUTIONS,2020-2021,42035.10
CANADIAN CORPS OF COMMISSIONAIRES,2017-2018,205823139.81
CANADIAN CORPS OF COMMISSIONAIRES,2018-2019,236381304.46
CANADIAN CORPS OF COMMISSIONAIRES,2019-2020,244327135.13
CANADIAN CORPS OF COMMISSIONAIRES,2020-2021,248631933.76
CANADIAN LEASEBACK,2019-2020,463.91
CANADIAN LEASEBACK,2020-2021,11752.29
CANON,2017-2018,3205.10
CANON,2018-2019,3205.10
CANON,2019-2020,3213.88
CANON,2020-2021,3205.10
CDW CANADA,2017-2018,18191.31
CHUBB EDWARDS,2017-2018,1133932.67
CHUBB EDWARDS,2018-2019,1468324.41
CHUBB EDWARDS,2019-2020,1510270.43
CHUBB EDWARDS,2020-2021,1505619.94
CORADIX TECHNOLOGY CONSULTING,2018-2019,12497.80
CUMMINS CANADA,2020-2021,20352.00
DALHOUSIE UNIVERSITY,2019-2020,1080328.77
DALHOUSIE UNIVERSITY,2020-2021,1860000.00
DELCO AUTOMATION,2019-2020,73532.21
DELCO AUTOMATION,2020-2021,13296.29
DSS MARINE,2019-2020,43441.06
DSS MARINE,2020-2021,38826.44
EXTRAVISION VIDEO TECHNOLOGIES,2017-2018,38197.24
FELIX TECHNOLOGY,2019-2020,49138.74
FELIX TECHNOLOGY,2020-2021,144642.25
FSC,2020-2021,4856.68
