d_vendor_name,overall_total
CANADIAN CORPS OF COMMISSIONAIRES,18108571.23202553
LIONBRIDGE,3600000
AVI SPL CANADA,2129157.13
TELUS CANADA,2098231.111659864
EXCEL HUMAN RESOURCES,2026214.0715709268
NISHA TECHONOLOGIES,1498404.37
INTERNATIONAL REPORTING,1354976.3585700812
THE MASHA KRUPP TRANSLATION GROUP,1200000
DONNA CONA,998846.25
LEO PISCES SERVICES GROUP,795497.41
LES TRADUCTIONS TESSIER S C C,730047.1699999999
CBCI TELECOM,707692.29
CALIAN,689219.1157957767
SOFTCHOICE,660614.9912687407
VISIONTEC 2008,655738.4639036078
BELL CANADA,644308.3300000001
"NATTIQ",604941.5326217781
QMR,558936.4001422239
ASOKAN BUSINESS INTERIORS,547000.56
ORACLE CANADA,526672.8716893733
TEKNION,500842.43
ITEX,468226.64999999997
THE RIGHT DOOR CONSULTING SOLUTIONS,445116.4166666666
VMWARE,443960.55115068494
PURESPIRIT SOLUTIONS,435497.14999999997
DELOITTE AND TOUCHE,405821.1534568499
TES CONTRACT SERVICES,367253.39
ADVANCED CHIPPEWA TECHNOLOGIES,364764.94
COMPUCOM CANADA,352768.34775342466
HYPERTEC,330430.2
CONEXSYS,321049.92000000004
ECLIPSYS SOLUTIONS,303644.42
FREEBALANCE,288124.41
PURELOGIC,278769.0483287671
MAVERIN,270205.6
THOMSON REUTERS CANADA,237833.75
LANGUAGE RESEARCH DEVELOPMENT GROUP,236460.23129738838
IBM CANADA,225004.62258269935
CONOSCENTI TECHNOLOGIES,196998.7265625
ADRM TECHNOLOGY CONSULTING,193908
WAJAX POWER SYSTEMS,188645.02000000002
CANADA POST,186050
TURTLE ISLAND STAFFING,162773.56291390728
TOTEM OFFISOURCE,155837.06
BLACKBERRY,147323.54134246576
FCA CANADA,145045.68
DELL COMPUTER,139830.72
ALTIS HUMAN RESOURCES,127870.44
ADGA GROUP,123170
GC STRATEGIES,122040
THOMAS SCHMIDT,117781.3125
ADVANCED BUSINESS INTERIORS,105738.15
FMC PROFESSIONALS,99666.00000000001
PROLOGIC SYSTEMS,94583
LEXISNEXIS CANADA,92153.76
MAPLESOFT CONSULTING,79900.04000000001
MICROSOFT CANADA,72232.85178082192
"NAV CANADA",69939.12000000001
VALCOM CONSULTING,62223.2
FAST TRACK STAFFING,61387.25
MAXSYS STAFFING AND CONSULTING,60404.323962516726
YORK UNIVERSITY,55370
WOLTERS KLUWER CANADA,53099.468779123956
ENTRUST,50385.6518339574
CDW CANADA,50339.12229508197
AON REED STENHOUSE,45572.49
INFO TECH RESEARCH GROUP,44296
QUINTET CONSULTING,43038
PORTAGE PERSONNEL,39910.13
GLOBAL TOTAL OFFICE,39680.6
RAYMOND CHABOT GRANT THORNTON CONSULTING,39558.30882352941
GLOBAL KNOWLEDGE,33856.469249329755
TAG HR,32701.029999999995
GENESIS INTEGRATION,29832
TOSHIBA CLIENT SOLUTIONS CANADA,29768.269999999997
NITAM SOLUTIONS,29505.309999999994
GRAYBRIDGE INTERNATIONAL CONSULTING,25000
IRON MOUNTAIN,25000
CISTEL TECHNOLOGY,24860
RAYMOND CHABOT GRANT THORNTON,24789.38
ZYCOM,23967.3
SOFTSIM TECHNOLOGIES,23674.66
GRAND TOY,20154.08
WOLTERS KLUWER,15973.679999999998
MISHKUMI TECHNOLOGIES,13658.46
GLOBAL UPHOLSTERY,12951.5
ENSEIGNES PATTISON SIGN GROUP,11300
QUEEN S UNIVERSITY,11017.5
PROCOM CONSULTANTS,2294.6739726027395
THOMSON REUTERS,197.44188524590163
