d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,28086.48
1_facilities_and_construction,2018-2019,48238.11
1_facilities_and_construction,2019-2020,63439.04
1_facilities_and_construction,2020-2021,95489.23
3_information_technology,2017-2018,24976.62
4_medical,2017-2018,11369.94
4_medical,2018-2019,10080.20
4_medical,2020-2021,27577079.22
6_industrial_products_and_services,2017-2018,59486.91
6_industrial_products_and_services,2018-2019,35564.15
6_industrial_products_and_services,2019-2020,766188.96
6_industrial_products_and_services,2020-2021,2887157.50
