owner_org,total_amendment_increase_value,n
aafc-aac,209678597.90,989
aandc-aadnc,40045044.63,523
acoa-apeca,1161659.41,37
atssc-scdata,19485844.76,156
cannor,177548.56,9
cas-satj,11902874.99,164
casdo-ocena,314417.14,11
cbsa-asfc,623380056.23,1122
ccohs-cchst,70326.33,10
ced-dec,1794386.57,32
cer-rec,35434762.10,146
cfia-acia,117382432.32,458
cgc-ccg,3136808.96,50
chrc-ccdp,1508041.25,51
cic,837346016.23,1567
cics-scic,39774.16,4
cihr-irsc,8215286.46,170
cnsc-ccsn,15008414.02,182
cpc-cpp,474193.76,30
cra-arc,565156542.63,1874
crtc,5962233.02,37
csa-asc,616378214.20,322
csc-scc,1156311768.70,2632
csps-efpc,22339747.62,87
cta-otc,2412874.34,88
dfatd-maecd,354312357.34,2225
dfo-mpo,1138325018.17,4263
dnd-mdn,9578639165.62,8129
ec,269461757.54,1103
elections,148896067.74,300
erc-cee,17496.05,2
esdc-edsc,1432710033.88,2325
fcac-acfc,13496123.58,53
feddevontario,6770891.00,31
fin,47440959.99,132
fintrac-canafe,171704.68,20
fja-cmf,1908094.90,50
fpcc-cpac,23392.60,2
hc-sc,466607838.87,1137
iaac-aeic,3188747.35,56
ic,225638424.66,926
iic-iac,3510744.00,14
ijc-cmi,-11778.30,9
infc,537161108.18,112
irb-cisr,18267603.84,251
isc-sac,46871611.12,452
jus,47996809.73,212
lac-bac,10773828.70,133
mgerc-ceegm,236550.70,10
mpcc-cppm,602019.85,9
nbc-ccbn,-70942.00,9
nfb-onf,1150359.46,59
nrc-cnrc,-912245276.56,1686
nrcan-rncan,157489829.19,1072
nserc-crsng,24594086.15,145
nsira-ossnr,329084.26,4
oag-bvg,13505122.95,117
oci-bec,593084.18,7
ocl-cal,1357569.55,12
ocol-clo,2629533.74,27
oic-ci,4559319.98,23
opc-cpvp,2649256.58,57
osfi-bsif,83932115.98,286
osgg-bsgg,2853479.13,68
pbc-clcc,87955.63,36
pc,410562997.20,2559
pch,60166322.77,351
pco-bcp,39752145.16,182
phac-aspc,1403597229.79,756
pmprb-cepmb,433368.55,7
polar-polaire,70052.69,3
ppsc-sppc,141045355.15,277
pptc,239020.63,1
ps-sp,36064130.30,182
psc-cfp,8501451.03,55
psic-ispc,1984722.22,10
pwgsc-tpsgc,8531967059.13,6132
rcmp-grc,530778525.78,2070
sirc-csars,0.00,1
ssc-spc,5355897813.62,2072
sshrc-crsh,1559914.32,33
statcan,17345600.44,56
swc-cfc,69748.78,6
tbs-sct,482167228.41,225
tc,186123293.45,994
tsb-bst,1839693.86,30
vac-acc,240324036.93,189
vrab-tacra,0.00,3
wage,2438534.73,34
wd-deo,286379.67,10
