owner_org,mean_years,n
aafc-aac,0.59,9156
aandc-aadnc,1.15,2946
acoa-apeca,0.82,414
atssc-scdata,1.01,530
cannor,0.74,75
cas-satj,0.85,1233
casdo-ocena,1.15,56
cbsa-asfc,1.23,5118
ccohs-cchst,1.01,111
ced-dec,0.93,316
cer-rec,1.06,922
cfia-acia,0.81,2748
cgc-ccg,0.93,607
chrc-ccdp,0.85,406
cic,0.97,3876
cics-scic,0.29,125
cihr-irsc,0.66,769
cnsc-ccsn,1.17,977
cpc-cpp,0.66,164
cra-arc,1.23,4387
crtc,0.91,488
csa-asc,1.32,1528
csc-scc,0.76,20521
csps-efpc,0.95,523
cta-otc,1.51,305
dfatd-maecd,0.62,19397
dfo-mpo,0.42,31120
dnd-mdn,0.52,83785
ec,0.87,12069
elections,1.21,1458
erc-cee,0.77,13
esdc-edsc,0.96,7135
fcac-acfc,0.92,406
feddevontario,0.77,204
fednor,1.22,4
fin,0.96,605
fintrac-canafe,0.97,155
fja-cmf,1.04,415
fpcc-cpac,0.66,27
hc-sc,0.99,7548
iaac-aeic,0.98,297
ic,0.8,6425
iic-iac,0.73,186
ijc-cmi,0.63,182
infc,1.27,564
irb-cisr,1.38,1435
isc-sac,0.94,3207
jus,1.12,2042
lac-bac,1.11,666
mgerc-ceegm,0.87,73
mpcc-cppm,1.02,129
nbc-ccbn,0.5,213
nfb-onf,0.61,1134
nrc-cnrc,0.54,14375
nrcan-rncan,0.73,10236
nserc-crsng,1,700
nsira-ossnr,0.58,90
oag-bvg,1.07,1181
oci-bec,1,34
ocl-cal,1.03,92
ocol-clo,0.96,306
ocsec-bccst,0.63,7
oic-ci,1.04,167
opc-cpvp,0.77,474
osfi-bsif,1.05,1328
osgg-bsgg,0.95,276
oto-boc,1,1
pbc-clcc,1.17,354
pc,0.72,14781
pch,0.74,2234
pco-bcp,0.71,1580
phac-aspc,0.98,4369
pmprb-cepmb,1.46,144
polar-polaire,0.7,50
ppsc-sppc,2.41,816
pptc,4.3,4
ps-sp,0.88,1162
psc-cfp,1.01,293
psic-ispc,1.2,88
pwgsc-tpsgc,1.04,30163
rcmp-grc,0.83,16838
sirc-csars,0.75,54
ssc-spc,2.14,10894
sshrc-crsh,1.05,161
statcan,0.54,1358
swc-cfc,0.6,102
tbs-sct,1.07,1439
tc,0.68,7783
tsb-bst,0.86,286
vac-acc,0.77,1390
vrab-tacra,0.33,50
wage,0.68,424
wd-deo,0.67,151
