d_vendor_name,mean_number_of_amendments,n
10647802 CANADA,2.33,6
11983890 CANADA CENTRE,2,1
1320376 ONTARIO,1.5,4
175 303 CANADA,4,2
175303 CANADA,1,1
1X1 ARCHITECTURE,1.33,18
2099042 ONTARIO,2.33,3
2145675 ONTARIO,3,2
2220742 ONTARIO,2.8,10
2536 4589 QUEBEC,4,1
2553164 ONTARIO,2,1
2KEYS,1.92,13
3469051 CANADA,1.29,14
3955788 CANADA,1.75,4
3D DATACOMM,1,4
3M CANADA COMPANY,3.5,2
4 OFFICE AUTOMATION,2.22,89
4083261 CANADA,2.6,5
49 SOLUTIONS,2.6,5
520571 ONTARIO,4,3
529040 ONTARIO AND 880382,2.08,13
6834973 CANADA,7,1
727619 ALBERTA O A ROUGHRIDER,5,1
7305516 CANADA,1.33,6
736902 ONTARIO,1.8,5
73719 NEWFOUNDLAND LABRADOR,1.57,7
851791 NWT,3.5,2
898845 ALBERTA,1,3
9006 9311 QUEBEC,4.8,5
9034 3476 QUEBEC,1.6,5
9089 5657 QUEBEC,4,1
9090 5092 QUEBEC,4.33,3
9099 3593 QUEBEC INTER PROJE,4.5,2
9160 5188 QUEBEC,2,1
9168516 CANADA,4,1
9205187 CANADA,1,2
9244 3175 QUEBEC,1,2
9275 0181 QUEBEC,4,3
A B BUILDERS,3,1
A J HANNA CONSTRUCTION,1,1
A NET SOLUTIONS,1.64,11
A SANTIN MASON CONTRACTOR,3.2,5
AB SCIEX,1.5,10
ABB,2,21
ABBOTT,1.33,9
ABCO MAINTENANCE SYSTEMS,1,5
ACADIAN CONSTRUCTION 1991,2,2
ACADIAN DREDGING,1,10
ACART COMMUNICATIONS,2,6
ACCENTURE,2.06,35
ACCESS 2 NETWORKS,1.18,11
ACKLANDS GRAINGER,1.21,14
ACME FUTURE SECURITY CONTROLS,2.05,19
ACNIELSEN COMPANY OF CANADA,1.33,6
ACOSYS CONSULTING SERVICES,1.7,30
ACRES ENTERPRISES,1,2
ACT,1.15,13
ACTION PERSONNEL OF OTTAWA HULL,1.81,21
ADAPT PHARMA CANADA,1.5,2
ADGA GROUP,1.92,76
ADOBE,2.67,9
ADPEARL,5,1
ADRM TECHNOLOGY CONSULTING,1.89,138
ADVANCED BUSINESS INTERIORS,1.12,49
ADVANCED CHIPPEWA TECHNOLOGIES,1.45,65
ADVANCED PARAMEDIC,2,2
AECOM,2.35,142
AEG FUELS,1,5
AEREX AVIONICS,1,3
AERO FEU,1.2,5
AERO SUPPLIES,1.05,22
AEROPORT DE QUEBEC,3,1
AEROPORTS DE MONTREAL,1,1
AEROPRO,4.25,4
AFC INDUSTRIES,3.5,2
AFN ENGINEERING,1.14,51
AFW CONSTRUCTION,1.11,19
AG CREATIONS,1,1
AGC AND ASSOCIATES,1,1
AGENCE SOCIALE SPECIALISEE DE L OUTAOUAIS,8,1
AGILENT,1.33,43
AHS COMMUNITY INDUSTRIES,3,4
AIM HEALTH GROUP,2.17,6
AINSWORTH,1.74,19
AIR INDIA,1,1
AIR INUIT,1,1
AIR LIQUIDE CANADA,1.37,46
