d_vendor_name,total_amendment_increase_value,n
10647802 CANADA,8838799.58,6
11983890 CANADA CENTRE,48330100.00,1
1320376 ONTARIO,2141164.84,4
175 303 CANADA,218082.43,2
175303 CANADA,81514.73,1
1X1 ARCHITECTURE,563920.64,18
2099042 ONTARIO,1237913.01,3
2145675 ONTARIO,2082466.25,2
2220742 ONTARIO,2121737.20,10
2536 4589 QUEBEC,6703525.79,1
2553164 ONTARIO,2260000.00,1
2KEYS,92277562.84,13
3469051 CANADA,4757546.62,14
3955788 CANADA,1093396.55,4
3D DATACOMM,-20772.71,4
3M CANADA COMPANY,3136407.64,1
4 OFFICE AUTOMATION,-1643121.92,89
4083261 CANADA,977467.93,5
49 SOLUTIONS,3439761.49,5
520571 ONTARIO,2952148.36,3
529040 ONTARIO AND 880382,18705370.14,13
6834973 CANADA,5442089.29,1
727619 ALBERTA O A ROUGHRIDER,453294.25,1
7305516 CANADA,275240.87,6
736902 ONTARIO,-55755.38,5
73719 NEWFOUNDLAND LABRADOR,1128571.81,7
851791 NWT,575850.06,2
898845 ALBERTA,284872.64,3
9006 9311 QUEBEC,12193741.38,5
9034 3476 QUEBEC,1199348.98,5
9089 5657 QUEBEC,165064.86,1
9090 5092 QUEBEC,1358637.43,3
9099 3593 QUEBEC INTER PROJE,948943.46,2
9160 5188 QUEBEC,303864.67,1
9168516 CANADA,720086.73,1
9205187 CANADA,2011933.78,2
9244 3175 QUEBEC,171961.52,2
9275 0181 QUEBEC,845891.26,3
A B BUILDERS,113247.39,1
A J HANNA CONSTRUCTION,27600.00,1
A NET SOLUTIONS,860543.68,11
A SANTIN MASON CONTRACTOR,3206330.98,5
AB SCIEX,1541902.18,10
ABB,29514146.88,21
ABBOTT,4963735.01,3
ABCO MAINTENANCE SYSTEMS,18151.88,5
ACADIAN CONSTRUCTION 1991,32448.31,2
ACADIAN DREDGING,-211987.02,10
ACART COMMUNICATIONS,6514068.75,6
ACCENTURE,201232245.90,35
ACCESS 2 NETWORKS,373324.23,11
ACKLANDS GRAINGER,-408034.23,14
ACME FUTURE SECURITY CONTROLS,3228458.92,19
ACNIELSEN COMPANY OF CANADA,1298557.74,6
ACOSYS CONSULTING SERVICES,3698619.39,30
ACRES ENTERPRISES,41340.43,2
ACT,2199215.37,13
ACTION PERSONNEL OF OTTAWA HULL,3514504.67,21
ADAPT PHARMA CANADA,140785.00,2
ADGA GROUP,354667426.16,76
ADOBE,38551969.23,9
ADPEARL,10893200.00,1
ADRM TECHNOLOGY CONSULTING,32335697.78,138
ADVANCED BUSINESS INTERIORS,1451498.47,49
ADVANCED CHIPPEWA TECHNOLOGIES,32716979.92,65
ADVANCED PARAMEDIC,3156352.00,2
AECOM,75875651.91,138
AEG FUELS,-26250.00,5
AEREX AVIONICS,6505.63,3
AERO FEU,6396905.00,5
AERO SUPPLIES,186909.87,22
AEROPORT DE QUEBEC,2399492.53,1
AEROPORTS DE MONTREAL,4888792.87,1
AEROPRO,4739403.78,4
AFC INDUSTRIES,1071438.83,2
AFN ENGINEERING,1328939.11,51
AFW CONSTRUCTION,115609.60,19
AG CREATIONS,39457.96,1
AGC AND ASSOCIATES,67859.04,1
AGENCE SOCIALE SPECIALISEE DE L OUTAOUAIS,4373718.52,1
AGILENT,5766627.80,43
AHS COMMUNITY INDUSTRIES,8449037.78,4
AIM HEALTH GROUP,13021877.60,6
AINSWORTH,1145447.33,19
AIR INDIA,225987.19,1
AIR INUIT,3154573.54,1
AIR LIQUIDE CANADA,358060.91,46
AIR PRODUCTS CANADA,1476256.08,29
AIR TINDI,138639.69,7
AIRBORNE SYSTEMS,5483399.13,1
AIRBUS,156110863.57,25
AIRSIDES PROPERTIES,7709745.98,1
