d_most_recent_category,contracts,contracts_with_amendments,has_amendments_percentage
0_other,1768,139,0.0786
1_facilities_and_construction,58708,10499,0.1788
10_office_management,26062,2230,0.0856
11_defence,33637,2686,0.0799
2_professional_services,74487,13348,0.1792
3_information_technology,60804,12678,0.2085
4_medical,9917,1553,0.1566
5_transportation_and_logistics,29628,3332,0.1125
6_industrial_products_and_services,45609,2482,0.0544
7_travel,2140,252,0.1178
8_security_and_protection,6822,1677,0.2458
9_human_capital,15872,2095,0.132
