owner_org,max_overall_value,n
aafc-aac,26374483.17,10689
aandc-aadnc,20000000.00,3230
acoa-apeca,1286470.50,483
atssc-scdata,3318500.00,631
cannor,238204.00,80
cas-satj,3113446.00,1472
casdo-ocena,750000.00,95
cbsa-asfc,375841625.25,5760
ccohs-cchst,214095.15,150
ced-dec,1008822.92,356
cer-rec,2756250.00,1042
cfia-acia,22259994.30,3282
cgc-ccg,1355651.95,699
chrc-ccdp,478966.32,533
cic,340945341.00,4760
cics-scic,138848.75,181
cihr-irsc,2013651.00,862
cnsc-ccsn,3570690.27,1173
cpc-cpp,401970.00,210
cra-arc,39776000.02,5251
crtc,2058639.65,508
csa-asc,829883896.60,1663
csc-scc,67894784.40,24988
csps-efpc,19357083.68,627
cta-otc,778607.10,358
dfatd-maecd,49855798.00,23164
dfo-mpo,782743750.00,37567
dnd-mdn,5188354181.34,100978
ec,127269711.24,14563
elections,123033593.15,1769
erc-cee,243332.70,18
esdc-edsc,896967710.00,8272
fcac-acfc,5509234.16,478
feddevontario,5333108.19,248
fednor,50000.00,12
fin,23224615.98,753
fintrac-canafe,678000.00,155
fja-cmf,910426.88,517
fpcc-cpac,112942.57,28
hc-sc,254563240.68,8871
iaac-aeic,1048866.01,367
ic,43463952.88,7695
iic-iac,8100939.00,234
ijc-cmi,445446.00,207
infc,5037566402.80,666
irb-cisr,75109171.00,2175
isc-sac,260037883.60,4111
jus,8895066.17,2466
lac-bac,6123480.72,790
mgerc-ceegm,224726.24,78
mpcc-cppm,294901.00,150
nbc-ccbn,735000.00,213
nfb-onf,1405404.95,1349
nrc-cnrc,28583375.19,16923
nrcan-rncan,14405635.89,12120
nserc-crsng,3744075.35,831
nsira-ossnr,764445.00,112
oag-bvg,3749999.92,1363
oci-bec,375970.86,44
ocl-cal,1174465.50,104
ocol-clo,1260000.00,336
ocsec-bccst,145431.00,10
oic-ci,2068888.89,195
opc-cpvp,3700000.00,520
osfi-bsif,12830495.76,1574
osgg-bsgg,10553205.90,315
oto-boc,44215.20,1
pbc-clcc,345215.00,433
pc,63961692.83,17508
pch,9674690.21,2582
pco-bcp,7910000.00,1856
phac-aspc,602111216.15,5385
pmprb-cepmb,1777557.80,171
polar-polaire,750000.00,69
ppsc-sppc,14344069.12,921
pptc,1499028.05,4
ps-sp,6575142.59,1408
psc-cfp,2299500.00,337
psic-ispc,1265445.00,88
pwgsc-tpsgc,5723000000.00,35289
rcmp-grc,63097290.48,19880
sirc-csars,970000.00,54
ssc-spc,1079396751.45,12927
sshrc-crsh,2591083.68,291
statcan,42374887.00,1578
swc-cfc,170492.52,102
tbs-sct,514540899.00,1697
tc,144098850.00,9451
tsb-bst,1156690.50,329
vac-acc,566481005.07,1635
vrab-tacra,133057.50,66
wage,1280160.23,527
wd-deo,577114.95,151
