d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2020-2021,76675.28
10_office_management,2018-2019,14888.00
10_office_management,2020-2021,12184.60
11_defence,2017-2018,396166.95
11_defence,2018-2019,1286348.96
11_defence,2019-2020,1544529.75
11_defence,2020-2021,4057966.43
2_professional_services,2020-2021,9003.34
3_information_technology,2017-2018,15366410.07
3_information_technology,2018-2019,18342716.57
3_information_technology,2019-2020,15144463.00
3_information_technology,2020-2021,35677415.08
6_industrial_products_and_services,2018-2019,16699.14
6_industrial_products_and_services,2020-2021,20923.21
9_human_capital,2017-2018,21441.75
9_human_capital,2019-2020,80760.17
9_human_capital,2020-2021,83537.55
