owner_org,d_fiscal_year,total
aafc-aac,2019-2020,4606.593569058844
aafc-aac,2020-2021,120350.17643094115
csc-scc,2018-2019,7655.276712328767
csc-scc,2019-2020,472040.58826423966
csc-scc,2020-2021,1078550.9850234315
dfatd-maecd,2018-2019,25690.01
dfo-mpo,2020-2021,5840.814277929156
dnd-mdn,2017-2018,2406363.6188982576
dnd-mdn,2018-2019,1515094.275769361
dnd-mdn,2019-2020,1099925.9876324055
dnd-mdn,2020-2021,1081074.274060944
ec,2019-2020,11113.890000000001
pc,2018-2019,38332.67
pc,2019-2020,40225.31838383838
pc,2020-2021,64572.22161616161
pch,2018-2019,12654
pwgsc-tpsgc,2018-2019,1206966.42
pwgsc-tpsgc,2019-2020,36835.74
rcmp-grc,2020-2021,18458.52
ssc-spc,2019-2020,111324.13610354225
ssc-spc,2020-2021,487943.11389645777
