owner_org,overall_total
csc-scc,353018327.69
ssc-spc,184878055.79
dfatd-maecd,51099563.54
tc,39335643.32
cfia-acia,33249410.27
pch,16559780.14
ic,16090100.90
cgc-ccg,11908987.99
csa-asc,8427489.56
elections,4776349.14
pco-bcp,4206581.57
esdc-edsc,3971372.44
aandc-aadnc,3625114.67
cas-satj,3350120.34
cic,3341024.53
vac-acc,3280498.50
statcan,2066547.40
ppsc-sppc,561433.87
nbc-ccbn,533057.31
cta-otc,496365.05
cer-rec,392896.86
irb-cisr,387517.09
tsb-bst,363630.17
infc,272847.67
jus,265031.58
polar-polaire,231120.67
oag-bvg,217051.64
nfb-onf,200740.58
tbs-sct,147277.78
nsira-ossnr,133692.04
pbc-clcc,109083.87
csps-efpc,99404.43
ced-dec,86163.25
osgg-bsgg,85757.08
fja-cmf,80000.00
acoa-apeca,72474.25
cannor,61674.84
nserc-crsng,60817.66
fintrac-canafe,58083.81
fpcc-cpac,57930.94
mgerc-ceegm,41915.74
atssc-scdata,41843.30
ijc-cmi,37025.69
chrc-ccdp,31307.17
ps-sp,24991.08
fin,23683.67
opc-cpvp,22420.12
fcac-acfc,21780.75
crtc,15802.00
cihr-irsc,15447.10
sirc-csars,14414.34
wage,12439.34
ocol-clo,12011.07
feddevontario,5279.12
aafc-aac,"NA"
cbsa-asfc,"NA"
cnsc-ccsn,"NA"
cra-arc,"NA"
dfo-mpo,"NA"
dnd-mdn,"NA"
ec,"NA"
hc-sc,"NA"
isc-sac,"NA"
lac-bac,"NA"
nrc-cnrc,"NA"
nrcan-rncan,"NA"
pc,"NA"
phac-aspc,"NA"
pwgsc-tpsgc,"NA"
rcmp-grc,"NA"
