d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
0_other,2021-2022,0.00,0.00
1_facilities_and_construction,2018-2019,139351.05,140850.19
1_facilities_and_construction,2019-2020,47133.44,47301.03
11_defence,2021-2022,197328.59,182029.34
2_professional_services,2017-2018,814694.98,835404.73
2_professional_services,2018-2019,2501198.43,2535719.49
2_professional_services,2019-2020,2296705.47,2278737.50
2_professional_services,2020-2021,5699604.98,5413940.36
2_professional_services,2021-2022,5331166.93,4944555.94
3_information_technology,2017-2018,6662712.07,6834199.45
3_information_technology,2018-2019,7090575.00,7200063.57
3_information_technology,2019-2020,11413474.42,11322986.27
3_information_technology,2020-2021,10279636.96,9768417.25
3_information_technology,2021-2022,16678519.88,15428795.61
9_human_capital,2018-2019,6177.94,6238.72
9_human_capital,2019-2020,90627.87,89895.54
9_human_capital,2020-2021,83943.16,79798.49
9_human_capital,2021-2022,57114.00,52835.41
