d_most_recent_category,mean_original_value,mean_overall_value,n
0_other,66321.42,54116.35,231
1_facilities_and_construction,763456.78,911624.60,18678
10_office_management,52868.79,54301.24,5921
11_defence,954881.98,1129124.40,33639
2_professional_services,340637.50,409992.98,7219
4_medical,1401128.55,1891793.37,587
6_industrial_products_and_services,519326.66,549811.99,14167
7_travel,334016.07,325682.73,23
8_security_and_protection,638419.03,646275.33,1116
9_human_capital,127393.57,147482.25,2248
