d_vendor_name,min_overall_value,n
10647802 CANADA,13339.37,4
1376387 FLEETWAY,1010417.37,2
14343878 ONTARIO,9915385.33,1
2553164 ONTARIO,3390000.00,1
2KEYS,15153.30,7
3388646 CANADA COMMERCIAL BUILDING CLEANERS,1720135.85,3
3D DATACOMM,10538.61,6
3M CANADA COMPANY,24636.16,1
4 OFFICE AUTOMATION,10170.00,23
5029406 MANITOBA,90673.40,7
6771581 CANADA,10043.53,96
73719 NEWFOUNDLAND LABRADOR,11851.44,23
828778852PG0001 4527984CANADA,7108754.78,1
9205187 CANADA,17260.75,1
A J HANNA CONSTRUCTION,10193.60,272
A SANTIN MASON CONTRACTOR,162318.17,4
A TECH ROOFING,14950.00,7
AA STURGEON CONSTRUCTION,147875.00,5
ABB,10974.00,13
ABBOTT,81809.81,1
ABCO INDUSTRIES,11937.00,2
ABCO MAINTENANCE SYSTEMS,21393.75,55
ABS AMERICAS,156037.00,2
ACCENTURE,24860.00,17
ACCESS 2 NETWORKS,17931.50,5
ACKLANDS GRAINGER,10032.88,286
ACME FUTURE SECURITY CONTROLS,19634.88,3
ACOSYS CONSULTING SERVICES,51655.13,4
ACRES ENTERPRISES,1307604.73,3
ACT,10170.00,58
ACTION PERSONNEL OF OTTAWA HULL,93148.16,1
ADGA GROUP,33179.62,60
ADOBE,25080.90,1
ADRM TECHNOLOGY CONSULTING,37290.00,3
ADVANCED BUSINESS INTERIORS,10531.60,11
ADVANCED CHIPPEWA TECHNOLOGIES,10010.28,78
AECOM,9491.87,78
AEG FUELS,10000.46,1553
AEREX AVIONICS,8808.58,26
AERO FEU,10195.50,16
AFW CONSTRUCTION,5386.71,49
AG CREATIONS,10288.85,41
AGC AND ASSOCIATES,11300.00,10
AGILENT,9034.50,31
AINSWORTH,17606.50,7
AIR CHARTER SERVICE,4055381.49,1
AIR INUIT,30901.90,5
AIR LIQUIDE CANADA,10067.04,23
AIR NORTH,10707.08,56
AIR TINDI,11044.00,25
AIRBORNE SYSTEMS,24123.29,2
AIRBOSS DEFENSE,5955337.00,1
AIRBUS,19218.50,16
AIWORX,196428.06,3
AKM GROUP,2593350.00,1
ALGONQUIN COLLEGE,10057.00,25
ALIKA INTERNET TECHNOLOGIES,38985.00,1
ALLEN HASTINGS,531373.06,1
ALLIANCE ENERGY,11282.04,2
ALLIANT TECHSYSTEMS OPERATIONS,224879.19,7
ALLIED CONTAINER SYSTEMS,1850871.49,2
ALLSEATING,10462.20,7
ALMIQ CONTRACTING,55857000.00,1
ALPINE HELICOPTERS,22601.25,1
ALS CANADA,6233.36,72
ALTIS HUMAN RESOURCES,12119.25,167
AMAN BUILDERS,20985633.00,2
AMAZON,10615.22,9
AMEC CONSTRUCTION,15831.86,6
AMER SPORTS CANADA,14950.00,7
AMERESCO CANADA,20435591.89,2
AMERICAN BUREAU OF SHIPPING,17585.40,2
AMERICAN CHEMICAL SOCIETY,23537.00,5
AMRON CONSTRUCTION,5909.71,144
AMS IMAGING,14539.50,1
AMTECH AERONAUTICAL,10500.00,15
AMTEK ENGINEERING,20624.00,30
ANALYTICAL GRAPHICS,10275.20,22
ANIXTER,10179.85,155
ANSYS CANADA,40715.00,6
AON REED STENHOUSE,10000.00,9
APEX STEEL GAS,10000.00,82
APOTEX,17600.00,1
APPAREL TRIMMINGS,10325.00,33
APPLIED ELECTONICS,10162.37,79
APPLIED SYSTEMS ENGINEERING,6044170.82,1
APRON FUEL SERVICES,10213.54,368
AQUA LUNG CANADA,10899.01,60
AQUATIC INFORMATICS,14840.00,1
ARCADIS CANADA,10305.20,22
ARCHITECTURE 49,10416.53,136
ARI FINANCIAL SERVICES,10500.00,21
ARRM ELECTRIC,10000.00,38
ARTEMP PERSONNEL SERVICES,21156.23,6
ARTEX SPORTSWEAR,20690.30,12
ASBEX,705535.46,1
ASC GERMANY,16165.87,5
ASOKAN BUSINESS INTERIORS,11123.83,4
ATCO,10255.78,35
ATLANTIC BUSINESS INTERIORS,10293.44,18
ATLANTIC ROOFERS,10092.98,55
ATLANTIC TOWING,25000.00,2
ATLANTICA MECHANICAL CONTRACTORS,10465.41,10
AV TECH,11497.50,8
AVALERION,196620.00,13
AVI SPL,10113.18,90
AVJET HOLDING,10014.62,289
AVONDALE CONSTRUCTION,14342.41,14
AXYS TECHNOLOGIES,10540.90,4
B BRAUN OF CANADA,65540.00,2
BABCOCK INTERNATIONAL GROUP,12204.18,27
BABEL STREET,21951.42,2
BAE SYSTEMS,10205.62,97
BAJA CONSTRUCTION CANADA,169000.00,5
BARDON SUPPLIES,10047.40,145
BARGREEN ELLINGSON,10111.53,232
BARRON S REFRIGERATION HEATING,10017.00,97
BARTA MACHINE,4825890.00,2
BAVARIAN NORDIC,25000.00,1
BDO CANADA,22223.71,8
BECKMAN COULTER CANADA,35160.75,1
BEE CLEAN BUILDING MAINTENANCE,10409.64,143
BELAND LAPOINTE,39177126.00,1
BELL CANADA,11295.30,74
BELL TEXTRON,15197.97,7
BEN WIEBE CONSTRUCTION,10473.60,14
BERLITZ CANADA,11201.75,13
BEST FACILITIES SERVICES,13712295.00,1
BEST SERVICE PROS,10641.46,112
BGLA,105161.21,1
BIGHORN CONSTRUCTION,45056.55,6
BIO RAD LABORATORIES CANADA,12261.38,2
BIOKINETICS AND ASSOCIATES,4311562.50,1
BIRD CONSTRUCTION COMPANY,4783000.00,3
BLACK MCDONALD,10032.75,142
BLACKBERRY,18206.56,7
BLUE WATER SYSTEM,14876382.00,1
BLUEDOT,497200.00,1
BLUEDROP TRAINING SIMULATION,100376.00,3
BLUEWAVE ENERGY,10941.38,156
BLUMETRIC ENVIRONMENTAL,11074.00,27
BLUNDEN CONSTRUCTION 1995,132900.00,6
BMC SOFTWARE CANADA,10739.52,5
BMT FLEET TECHNOLOGY,24923.28,11
BOLLORE LOGISTICS,706018.00,1
BOMBARDIER,31452.42,11
BOMIMED,187241.00,1
BONDFIELD CONSTRUCTION COMPANY,30636000.00,1
BOUTHILLETTE PARIZEAU,13204.97,17
BRANDT TRACTOR,10196.06,18
BRECKENHILL,92020.86,1
BRIQUETAL,3549000.00,2
BRONSWERK MARINE,10920.34,49
BROOK CONSTRUCTION,816500.00,1
BROOKFIELD ASSET MANAGEMENT,100428750.00,1
BROOKFIELD GLOBAL INTEGRATED SOLUTIONS,73757.24,4
BRS INNOVATIONS,12284.23,6
BRUKER,13619.30,7
BUBBLE TECHNOLOGY INDUSTRIES,10383.45,7
BUNZL CANADA,11661.60,6
BUREAU VERITAS,10261.65,25
C CORE,24874.13,30
CACHE COMPUTER CONSULTING,39510.45,11
CADEX,11829.97,19
CAE,15274.00,35
CALIAN,7394.97,402
CALYTERA SOFTWARE,14818.07,3
CAMPBELL SCIENTIFIC CANADA,13213.50,5
CAN AM PLATFORMS CONSTRUCTION,10250478.00,1
CANADA,10405.92,29
CANADA POST,11300.00,6
CANADENSYS AEROSPACE,199990.79,3
CANADIAN AIRMOTIVE,10620.69,14
CANADIAN BANK NOTE COMPANY,1589502.07,1
CANADIAN BASE OPERATORS,10035.77,128
CANADIAN BORDER OPERATIONS,225730259.41,1
CANADIAN CORPS OF COMMISSIONAIRES,5477.52,921
CANADIAN DEVELOPMENT CONSULTANTS,933052.32,1
CANADIAN HELICOPTERS,12687.87,7
CANADIAN MARITIME ENGINEERING,10620.25,24
CANADIAN NORTH,70279.44,4
CANADIAN NUCLEAR LABORATORIES,57630.00,3
CANADIAN RED CROSS,15820.00,2
CANADIAN STANDARDS ASSOCIATION,13340.00,4
CANADYNE TECHNOLOGIES,12180.00,16
CANON,10024.01,134
CANSEL SURVEY EQUIPMENT,10432.80,21
CANTEC SYSTEMS,10962.00,29
CARAHSOFT TECHNOLOGY,12989.70,9
CARDINAL HEALTH CANADA,11466.53,2
CARLETON LIFE SUPPORT SYSTEMS,11313.12,10
CARLETON UNIVERSITY,10452.50,21
CARMICHAEL ENGINEERING,10287.36,13
CARO ANALYTICAL SERVICES,16182.00,2
CARON PROFESSIONAL LINGUISTIC,49361.75,1
CARRIERE QUEBEC,3322825.00,1
CAS ELL STRUCTURES,10045.71,134
CASCADE AEROSPACE,44073790.00,4
CASP AEROSPACE,67606.52,7
CBCI TELECOM,10061.18,38
CBCL,10726.88,19
CDW CANADA,10026.38,191
CEGERCO,46877517.00,1
CENTURY GROUP,287000.00,2
CGI,229433.07,3
CH2M HILL CANADA,18900.00,1
CHANNEL MANAGEMENT INTERNATIONAL,19537.00,11
CHANTIER DAVIE CANADA,749875000.00,1
CHARRON HUMAN RESOURCES,10848.00,17
CHEF BRANDZ,10091.25,115
CHEMICAL ABSTRACTS SERVICE,42900.00,1
CHEVRON,14799.29,20
CHRONO AVIATION,17131.28,4
CHUBB EDWARDS,10215.36,6
CIMA,24993.00,1
CISION CANADA,20099.26,5
CISTEL TECHNOLOGY,245986.88,1
CITRIX,23302.89,3
CITY OF MOOSE JAW,5075763.00,1
CITY WYEED ELECTRIC,3093634.60,1
CIVIL UNDERGROUND EXCAVATION,3110025.89,1
CLARIANT CANADA,10388.70,103
CLERMARK,10299.82,17
CLICK NETWORKS,10016.62,11
CLOSEREACH,10860.04,19
CO VEN,14443095.00,2
COASTAL RESTORATION MASONRY,10111.95,61
COBHAM MISSION SYSTEMS DAVENPORT,2265462.23,1
COCO PAVING,70188.00,5
COFELY SERVICES,13395495.00,1
COFOMO,38985.00,3
COLLIERS PROJECT LEADERS,22833.00,14
COLT CANADA,10429.30,114
COLUMBIA FUELS,11030.86,17
COMBAT NETWORKS,12004.62,13
COMMERCIAL BUILDING CLEANERS,1665000.00,3
COMMERCIAL BUILDING CLEANING,2187577.39,4
COMMUNITECH,881874.60,2
COMMVAULT SYSTEMS,15327.44,3
COMPUCOM CANADA,14303.74,46
COMPUGEN,11628.94,34
CON PRO INDUSTRIES CANADA,166781.32,2
CONCEPT CONTROLS,10132.61,38
CONEXSYS,14819.32,3
CONFERENCE BOARD OF CANADA,12610.00,5
CONNEX TELECOMMUNICATIONS,17566.43,2
CONOSCENTI TECHNOLOGIES,194925.00,4
CONSTRUCTION COTE FILS,167872.00,3
CONSTRUCTION COUTURE TANGUAY,408900.00,4
CONSTRUCTION JESSIKO,18622.45,8
CONSTRUCTION ROCK DUFOUR,3658343.75,1
CONTRACT COMMUNITY,25736.88,30
CONTROLS EQUIPMENT,10120.00,20
CONVERGINT TECHNOLOGIES,12122.79,9
CONVERSART CONSULTING,24408.00,6
COPCAN CIVIL,59742.00,3
CORADIX TECHNOLOGY CONSULTING,24866.86,18
CORCAN,11551.65,26
COREBUILD CONSTRUCTION,52549536.00,1
CORPORATION DU FORT ST JEAN,22420.13,3
CORRECTIONAL SERVICES OF CANADA,16300.00,5
COSSETTE COMMUNICATIONS,10679.54,17
COUVERTURE MONTREAL NORD,55427.00,1
CRANDALL ENGINEERING,27805.62,1
CRESTLINE COACH,5040484.95,1
CRYE PRECISION,4110790.55,1
CRYPTOMILL TECHNOLOGIES,4968237.10,1
CSDC SYSTEMS,14386.48,2
CSI CONSULTING,25848.84,6
CTOMS,10485.79,5
CUBE CONSTRUCTION,491659.17,2
CUBIC DEFENSE APPLICATIONS,272240.00,4
CULLEN DIESEL POWER,15949.45,5
CUMMINS CANADA,10851.77,26
CUSTOM HELICOPTERS,10038.00,5
D DOYLE INSTALLATIONS,11048.63,3
DADS,18095.97,203
DAIMLER,11765.43,69
DALCON CONSTRUCTORS,1331304.66,2
DALHOUSIE UNIVERSITY,15759.00,17
DALIAN ENTERPRISES,16781.91,8
DARE HUMAN RESOURCES,68094.00,5
DASCO EQUIPMENT,13748.25,6
DASCO STORAGE SOLUTIONS,10024.35,83
DATA CENTRE INTELLIGENCE,11307.35,4
DATA COMMUNICATIONS MANAGEMENT,12757.73,2
DATIFEX,1163156.00,3
DAVTAIR INDUSTRIES,16671.27,14
DBC MARINE SAFETY SYSTEMS,10920.63,5
DECAREL,41113410.00,1
DECISIVE GROUP,10622.00,184
DECONTIE MILESTONE,235000.00,1
DEFENCE CONSTRUCTION CANADA,10620.08,31
DEFENSE INFORMATION SYSTEMS AGENCY,656436.00,2
DELCO AUTOMATION,12618.48,9
DELL COMPUTER,10673.49,107
DELOITTE,20000.00,33
DELTA PHOTONICS,10001.29,19
DETON CHO LOGISTICS,10201.00,65
DEW ENGINEERING,10522.05,66
DEXTER CONSTRUCTION,11474.13,74
DEXTERRA,10058.13,145
DILIGENS,10751.95,7
DILLON CONSULTING,6376.06,46
DIRECT ENERGY BUSINESS,11500.00,67
DLS TECHNOLOGY,124090.54,4
DNR CONSULTING GROUP,18970.51,10
DO ALL CONSTRUCTION,10097.68,22
DON SAYWELL DEVELOPMENTS,9487.80,156
DONNA CONA,10159.29,34
DRAEGER,10842.00,10
DRAPEAUX ET BANNIERES L ETENDARD,12053.75,4
DSS MARINE,10273.22,10
DST CONSULTING ENGINEERS,10891.80,25
