d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,36707.14
1_facilities_and_construction,2018-2019,59208.46
1_facilities_and_construction,2019-2020,36807.71
1_facilities_and_construction,2020-2021,42984.32
11_defence,2020-2021,187267.69
5_transportation_and_logistics,2017-2018,258094.12
5_transportation_and_logistics,2018-2019,291513.99
5_transportation_and_logistics,2019-2020,4531575.16
5_transportation_and_logistics,2020-2021,3123941.65
6_industrial_products_and_services,2017-2018,31108.00
6_industrial_products_and_services,2018-2019,209306.00
6_industrial_products_and_services,2019-2020,22605.91
9_human_capital,2017-2018,141251.13
