d_vendor_name,d_fiscal_year,total,total_constant_2019_dollars
10647802 CANADA,2017-2018,50703.18,52017.07
10647802 CANADA,2018-2019,789872.07,803434.93
10647802 CANADA,2019-2020,323029.04,320614.02
10647802 CANADA,2020-2021,357207.99,339035.55
10647802 CANADA,2021-2022,523805.95,443323.37
1X1 ARCHITECTURE,2017-2018,123652.70,126771.16
1X1 ARCHITECTURE,2018-2019,107109.99,108775.71
1X1 ARCHITECTURE,2019-2020,235899.46,233423.55
1X1 ARCHITECTURE,2020-2021,170043.67,161655.47
1X1 ARCHITECTURE,2021-2022,26704.13,25250.39
2220742 ONTARIO,2018-2019,1162751.75,1180440.43
2220742 ONTARIO,2019-2020,950752.61,947130.01
2220742 ONTARIO,2020-2021,56473.24,53176.22
2220742 ONTARIO,2021-2022,492123.91,465333.25
3D DATACOMM,2019-2020,15610.80,15433.09
3D DATACOMM,2020-2021,102907.12,96899.20
4083261 CANADA,2017-2018,861390.26,884099.64
4083261 CANADA,2018-2019,449496.21,454740.59
4083261 CANADA,2019-2020,843669.81,836550.10
4083261 CANADA,2020-2021,841364.70,799860.42
4083261 CANADA,2021-2022,841364.70,658169.84
727619 ALBERTA O A ROUGHRIDER,2017-2018,148884.04,152393.54
727619 ALBERTA O A ROUGHRIDER,2018-2019,2012691.59,2043991.92
727619 ALBERTA O A ROUGHRIDER,2019-2020,2018205.82,2001174.23
727619 ALBERTA O A ROUGHRIDER,2020-2021,2012691.59,1913406.09
7305516 CANADA,2021-2022,788548.26,486173.94
736902 ONTARIO,2017-2018,515581.57,527942.71
736902 ONTARIO,2018-2019,1030098.22,1047175.25
736902 ONTARIO,2019-2020,421227.79,420306.74
736902 ONTARIO,2020-2021,4327390.43,4121918.65
736902 ONTARIO,2021-2022,453922.07,429211.07
73719 NEWFOUNDLAND LABRADOR,2018-2019,122640.32,123961.37
851791 NWT,2021-2022,343875.00,322722.26
9090 5092 QUEBEC,2017-2018,2638469.61,2701663.44
9090 5092 QUEBEC,2018-2019,6046597.57,6143802.03
9090 5092 QUEBEC,2019-2020,5028699.15,4986262.08
9099 3593 QUEBEC INTER PROJE,2018-2019,1093716.71,1105903.51
9099 3593 QUEBEC INTER PROJE,2019-2020,2313874.65,2294347.92
9099 3593 QUEBEC INTER PROJE,2020-2021,2515845.58,2389854.11
9099 3593 QUEBEC INTER PROJE,2021-2022,2715247.93,2124042.40
9275 0181 QUEBEC,2018-2019,1095100.72,1108281.73
9275 0181 QUEBEC,2019-2020,1936265.05,1919924.95
9275 0181 QUEBEC,2020-2021,1930974.71,1835720.27
9275 0181 QUEBEC,2021-2022,1930974.71,1510533.20
A SANTIN MASON CONTRACTOR,2017-2018,930440.97,954551.74
A SANTIN MASON CONTRACTOR,2018-2019,930440.97,944910.71
A SANTIN MASON CONTRACTOR,2019-2020,932990.13,925116.65
A SANTIN MASON CONTRACTOR,2020-2021,466495.06,444127.02
ABB,2018-2019,15210.02,15540.37
ABB,2021-2022,9815.97,6929.76
ADVANCED BUSINESS INTERIORS,2017-2018,56047.18,57368.33
AINSWORTH,2017-2018,11818.32,12124.35
AINSWORTH,2018-2019,12305.24,12496.61
AINSWORTH,2019-2020,135123.80,132035.52
AINSWORTH,2020-2021,169175.25,159797.20
AINSWORTH,2021-2022,4335.78,3391.73
AIR INUIT,2017-2018,10197.64,10495.11
AIR INUIT,2019-2020,37446.23,37244.22
AIR INUIT,2021-2022,20673.33,19401.65
AIR TINDI,2017-2018,122829.82,125725.17
AIR TINDI,2018-2019,70989.66,71872.80
AIR TINDI,2019-2020,123143.46,121445.16
AIR TINDI,2020-2021,38036.91,35942.73
AIR TINDI,2021-2022,139662.35,73142.35
ALLEN HASTINGS,2017-2018,2078664.07,2132397.38
