d_most_recent_category,d_fiscal_year,total
0_other,2018-2019,37480.63
0_other,2020-2021,84326.25
0_other,2021-2022,236573.88
1_facilities_and_construction,2017-2018,2422164.42
1_facilities_and_construction,2018-2019,2821121.55
1_facilities_and_construction,2019-2020,3687596.92
1_facilities_and_construction,2020-2021,1355515.24
1_facilities_and_construction,2021-2022,975394.37
10_office_management,2017-2018,63475.91
10_office_management,2018-2019,10832.79
10_office_management,2019-2020,684673.47
10_office_management,2020-2021,28849.26
10_office_management,2021-2022,1846633.75
11_defence,2017-2018,3485937.48
11_defence,2018-2019,5916379.69
11_defence,2019-2020,4242566.51
11_defence,2020-2021,7485659.06
11_defence,2021-2022,8691352.11
2_professional_services,2017-2018,2079393.18
2_professional_services,2018-2019,1770423.71
2_professional_services,2019-2020,1761537.84
2_professional_services,2020-2021,2810082.75
2_professional_services,2021-2022,5638645.17
3_information_technology,2017-2018,293091388.58
3_information_technology,2018-2019,343500515.31
3_information_technology,2019-2020,331705575.18
3_information_technology,2020-2021,327978403.13
3_information_technology,2021-2022,284200889.67
6_industrial_products_and_services,2017-2018,39161063.14
6_industrial_products_and_services,2018-2019,39174995.64
6_industrial_products_and_services,2019-2020,39992772.33
6_industrial_products_and_services,2020-2021,39149793.65
6_industrial_products_and_services,2021-2022,3723207.69
9_human_capital,2020-2021,362299.98
