d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,33074.88,33916.75
it_consulting_services,2018-2019,60669.49,61562.40
it_consulting_services,2019-2020,111854.55,110169.90
it_consulting_services,2020-2021,28887.20,27425.98
it_consulting_services,2021-2022,90171.19,83590.89
it_software_licensing,2017-2018,32952.72,33794.18
it_software_licensing,2018-2019,40207.80,40780.61
it_software_licensing,2019-2020,69627.44,69112.92
it_software_licensing,2020-2021,33273.75,31615.50
it_software_licensing,2021-2022,37901.27,35261.70
