d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,117386.23,120319.31
it_consulting_services,2018-2019,524196.03,531699.59
it_consulting_services,2019-2020,529719.90,524602.54
it_consulting_services,2020-2021,626446.37,595044.64
it_consulting_services,2021-2022,464155.40,428893.05
it_devices_equipment,2017-2018,365210.41,373819.18
it_devices_equipment,2018-2019,28328.52,28616.96
it_devices_equipment,2021-2022,250881.06,232736.06
it_other,2017-2018,60750.89,62303.70
it_other,2018-2019,302760.00,306036.98
it_other,2019-2020,62141.90,61698.40
it_other,2020-2021,39819.27,37855.00
it_other,2021-2022,88151.41,81925.57
it_software_licensing,2019-2020,13039.17,12921.89
it_software_licensing,2020-2021,15893.94,15089.19
it_software_licensing,2021-2022,35089.09,32522.42
