d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2019-2020,34392.80,33560.48
11_defence,2017-2018,0.00,0.00
11_defence,2018-2019,0.00,0.00
11_defence,2019-2020,0.00,0.00
2_professional_services,2018-2019,15178.23,15340.04
5_transportation_and_logistics,2017-2018,45563773.32,46742338.19
5_transportation_and_logistics,2018-2019,830211.78,842177.27
5_transportation_and_logistics,2019-2020,2877406.10,2837185.74
5_transportation_and_logistics,2020-2021,8235531.94,7838214.54
5_transportation_and_logistics,2021-2022,22038860.14,13536955.96
6_industrial_products_and_services,2017-2018,18963.70,19516.88
6_industrial_products_and_services,2019-2020,11804.72,11519.04
9_human_capital,2018-2019,4427.00,4470.56
9_human_capital,2019-2020,65333.83,64912.91
9_human_capital,2021-2022,33674.00,31721.72
