d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,6750047.35,6917891.12
it_consulting_services,2018-2019,5847807.38,5932012.47
it_consulting_services,2019-2020,16926162.88,16705682.04
it_consulting_services,2020-2021,33561056.77,31869855.13
it_consulting_services,2021-2022,27071824.91,25080286.59
it_devices_equipment,2017-2018,257789.02,263987.97
it_devices_equipment,2018-2019,1119822.76,1133734.74
it_devices_equipment,2019-2020,110582.08,107933.19
it_devices_equipment,2020-2021,2084372.40,1982057.69
it_devices_equipment,2021-2022,4242957.22,3862719.95
it_other,2017-2018,18957.02,19448.26
it_other,2019-2020,62150.00,61442.51
it_other,2020-2021,69292.19,66445.29
it_other,2021-2022,577738.77,522211.51
it_software_licensing,2017-2018,126584594.90,129853709.66
it_software_licensing,2018-2019,127494711.82,129437484.19
it_software_licensing,2019-2020,189139026.96,187512947.48
it_software_licensing,2020-2021,220128811.20,209179555.04
it_software_licensing,2021-2022,249820833.09,231856482.03
