d_vendor_name,overall_total
TEKSYSTEMS CANADA,34259510.73
COWATERSOGEMA,31129742.27
PRICEWATERHOUSE COOPERS,26809809.68
MGIS,23083879.07
TPG TECHNOLOGY CONSULTANTS,21030468.85
MAPLESOFT CONSULTING,16638986.35
AMEX BANK OF CANADA,15497151.33
ADRM TECHNOLOGY CONSULTING,15308218.67
WORLD UNIVERSITY CONSORTIUM,14303725.16
DONNA CONA,13999840.20
TRANSTEC,12866990.46
COFOMO,11678672.59
ADGA GROUP,11543575.92
CGI,10200000.00
SYMCOR,9693017.51
IBM CANADA,8511910.08
ROGERS,7819052.51
WORLD UNIVERSITY SERVICE OF CANADA,7495395.85
RAPISCAN SYSTEMS,6302803.10
CANADIAN BUREAU FOR INTERNATIONAL EDUCATION,4210003.35
MCAFEE INTERNATIONAL,4076272.88
AGRITEAM CANADA,3997974.63
GC STRATEGIES,3935000.00
THE AIM GROUP,3623124.65
BRS INNOVATIONS,3482824.94
ALTIS HUMAN RESOURCES,3345689.41
QMR,2992900.92
ALINEA INTERNATIONAL,2971497.32
EIFFAGE INNOVATIVE CANADA,2303920.43
SI SYSTEMS,2190625.80
UNIVERSITY OF CALGARY,1758740.54
TELUS CANADA,1621266.86
RANDSTAD,1556521.74
VALCOM CONSULTING,1310099.40
FUGRO GEOSURVEYS,1272976.99
OPENTEXT,1267214.46
BELL CANADA,1246350.95
AGILENT,1205875.56
IBISKA TELECOM,1043013.92
SCA SHIPPING CONSULTANTS ASSOCIATED,869187.23
VERITAAQ TECHNOLOGY HOUSE,868240.76
OMNITECH ELECTRONICS,811148.63
EMPOWERED NETWORKS,810360.78
UNIVERSITY OF SASKATCHEWAN,763017.81
WSP,745930.97
SOFTSIM TECHNOLOGIES,706602.08
DELOITTE AND TOUCHE,690426.28
ESRI,572977.88
ILLUMINA CANADA,564095.67
FORRESTER RESEARCH,515088.00
CORADIX TECHNOLOGY CONSULTING,507037.81
"NAV CANADA",480250.00
UNIVERSITY OF BRITISH COLUMBIA,479216.48
RADIATION SOLUTIONS,475722.09
DEW ENGINEERING,439160.34
HONEYWELL,389966.73
MDOS CONSULTING,389140.21
UNIVERSITY OF OTTAWA,388602.18
ECLIPSYS SOLUTIONS,371507.62
FERENCE COMPANY CONSULTING,365773.31
PATTISON SIGN GROUP,357942.15
KPMG,354189.74
MESSA COMPUTING,337976.28
STANTEC,337939.81
AON REED STENHOUSE,335806.18
DNR CONSULTING GROUP,328542.22
"NAVPOINT CONSULTING GROUP",327312.40
EXCEL HUMAN RESOURCES,327151.06
73719 NEWFOUNDLAND LABRADOR,295619.42
MCELHANNEY ASSOCIATES,294540.65
CISTEL TECHNOLOGY,247124.22
VAISALA CANADA,244183.21
GREAT SLAVE HELICOPTERS,219700.95
INSA,213160.07
CONVERGINT TECHNOLOGIES,202218.34
TEKNION,176331.29
FELIX TECHNOLOGY,175279.95
CANADIAN CORPS OF COMMISSIONAIRES,174300.00
MINISTRY OF FINANCE,166201.25
DELCO AUTOMATION,165194.54
NISHA TECHONOLOGIES,159908.84
MITSUBISHI MOTOR SALES,150845.54
RHEA,150001.17
NORTHERN MICRO,148282.87
AMAZON,148214.26
JIM PATTISON INDUSTRIES,143411.18
IPSS,130791.95
WORLD FUEL SERVICES,125561.88
DST CONSULTING ENGINEERS,113753.85
AEG FUELS,112783.42
MLS OVERSEAS,110287.86
J L RICHARDS ASSOCIATES,110259.75
OSKAR CONSTRUCTION,105992.87
RICOH,103099.98
MERCURY MARINE,78561.00
HOSKIN SCIENTIFIC,75753.06
ALS CANADA,74214.00
LIFE TECHNOLOGIES,73397.37
SOFTCHOICE,66988.07
GARTNER,64468.03
CANSEL SURVEY EQUIPMENT,64268.44
INSTITUT NATIONAL D OPTIQUE,61362.42
GATESTONE,58921.86
ONX ENTERPRISE SOLUTIONS,55508.91
CONCEPT CONTROLS,55483.12
UNIVERSITY OF WATERLOO,49793.25
BOMBARDIER,48917.55
SYSTEMS FOR RESEARCH,48878.30
MICROSOFT CANADA,47248.00
PROMAXIS,46306.38
MACDONALD DETTWILER AND ASSOCIATES,46273.85
VWR INTERNATIONAL,45534.96
LIONBRIDGE,45322.99
ERNST YOUNG,45313.21
THERMO FISHER SCIENTIFIC,41887.42
GLOBAL KNOWLEDGE,41499.25
TESTFORCE SYSTEMS,41018.44
KENN BOREK AIR,40342.47
XEROX,40235.84
STRATOS,39874.88
ESBE SCIENTIFIC INDUSTRIES,38025.69
AVI SPL CANADA,37998.22
EXP SERVICES,34492.49
ANSYS CANADA,34451.11
NORTHERN CONSTRUCTION,34155.00
DALHOUSIE UNIVERSITY,31570.00
UNIVERSITY OF NEW BRUNSWICK,30733.50
DELL COMPUTER,30030.47
WATERS,29715.52
CAMPBELL SCIENTIFIC CANADA,29649.90
IMPERIAL OIL,29543.14
THE MATHWORKS,28770.04
CDW CANADA,28122.42
9168516 CANADA,27511.45
SUBARU CANADA,27429.15
ATCO,27064.80
MAXSYS STAFFING AND CONSULTING,25134.87
FLOYD S CONSTRUCTION,24516.76
UNIVERSITY OF ALBERTA,22000.00
AERO SUPPLIES,21883.94
GOSS GILROY,20679.00
UNIVERSITY OF TORONTO,20000.00
RAYMOND CHABOT GRANT THORNTON,18645.00
MISHKUMI TECHNOLOGIES,15705.26
CACHE COMPUTER CONSULTING,14616.55
CARAHSOFT TECHNOLOGY,13540.91
IIC TECHNOLOGIES,12630.02
ECOLE DE LANGUES ABCE,12600.00
HEWLETT PACKARD,12172.10
PHASELOCK SYSTEMS INTERNATIONAL,11881.95
GOLDER ASSOCIATES,11842.40
UVAIR,11813.99
JANKEL TACTICAL SYSTEMS,11675.11
SHARP ELECTRONICS,11466.84
PITNEY BOWES,11208.24
PURELOGIC,9398.38
COMPUGEN,6296.86
CSDC SYSTEMS,5167.65
BRONSWERK MARINE,0.00
ENGLOBE,0.00
FAIRBANKS MORSE ENGINE,0.00
FUNDY CONTRACTORS,0.00
LUMINA IT,0.00
MADSEN DIESEL TURBINE,0.00
MODIS CANADA,0.00
TELEDYNE,0.00
TOROMONT,0.00
TRM TECHNOLOGIES,0.00
