owner_org,overall_total
pwgsc-tpsgc,35228638.66
nrcan-rncan,28863579.71
dfo-mpo,11596480.86
dnd-mdn,8198605.82
cbsa-asfc,6620483.52
pc,5451664.15
csa-asc,5315981.26
cer-rec,1862529.64
rcmp-grc,1314340.13
ssc-spc,1297489.40
phac-aspc,1115870.48
hc-sc,918451.27
cfia-acia,635344.50
cnsc-ccsn,546140.39
aafc-aac,485239.43
esdc-edsc,344718.93
ppsc-sppc,334573.13
tc,263077.30
aandc-aadnc,221626.06
isc-sac,205887.80
ec,191979.28
jus,144926.43
cannor,39874.88
tbs-sct,24998.99
oag-bvg,18645.00
dfatd-maecd,"NA"
