d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,30102.09,30839.28
1_facilities_and_construction,2019-2020,45927.61,45749.79
1_facilities_and_construction,2020-2021,113645.68,108444.51
1_facilities_and_construction,2021-2022,105647.53,96496.61
10_office_management,2017-2018,616744.64,633671.80
10_office_management,2018-2019,197090.10,199984.21
10_office_management,2019-2020,1340735.16,1336942.76
10_office_management,2020-2021,569623.40,541398.87
10_office_management,2021-2022,157058.05,144175.41
2_professional_services,2017-2018,779647.86,799348.73
2_professional_services,2018-2019,1164663.66,1180234.32
2_professional_services,2019-2020,2096227.74,2068082.64
2_professional_services,2020-2021,3273220.20,3106632.83
2_professional_services,2021-2022,3478007.65,3216712.08
3_information_technology,2017-2018,8074191.15,8277794.60
3_information_technology,2018-2019,5800985.58,5886328.78
3_information_technology,2019-2020,6827580.42,6762455.91
3_information_technology,2020-2021,8429633.94,7979174.24
3_information_technology,2021-2022,5016628.71,4628279.57
5_transportation_and_logistics,2019-2020,28559.79,28509.29
5_transportation_and_logistics,2021-2022,17879.44,16148.71
6_industrial_products_and_services,2019-2020,27461.78,27149.17
9_human_capital,2017-2018,62935.44,64645.80
9_human_capital,2018-2019,11497.50,11610.62
9_human_capital,2019-2020,100527.57,99668.35
9_human_capital,2020-2021,20933.60,19828.31
9_human_capital,2021-2022,63443.84,58759.56
