d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,35225523.03
1_facilities_and_construction,2018-2019,34807416.15
1_facilities_and_construction,2019-2020,34900123.92
1_facilities_and_construction,2020-2021,38083757.43
1_facilities_and_construction,2021-2022,38804984.19
10_office_management,2017-2018,2183241.46
10_office_management,2018-2019,4178443.13
10_office_management,2019-2020,4056747.44
10_office_management,2020-2021,3845555.95
10_office_management,2021-2022,1417443.24
2_professional_services,2017-2018,48608413.96
2_professional_services,2018-2019,60211048.53
2_professional_services,2019-2020,105859191.53
2_professional_services,2020-2021,129969287.03
2_professional_services,2021-2022,140981086.11
3_information_technology,2017-2018,1463930704.98
3_information_technology,2018-2019,1537138816.65
3_information_technology,2019-2020,1520748021.30
3_information_technology,2020-2021,1605013939.52
3_information_technology,2021-2022,1810740083.63
4_medical,2017-2018,62408.76
4_medical,2018-2019,49369.04
4_medical,2019-2020,52436.64
4_medical,2020-2021,8739.44
4_medical,2021-2022,10186.54
5_transportation_and_logistics,2017-2018,2604416.76
5_transportation_and_logistics,2018-2019,1645149.46
5_transportation_and_logistics,2019-2020,1656379.76
5_transportation_and_logistics,2020-2021,246645.22
5_transportation_and_logistics,2021-2022,1631028.21
6_industrial_products_and_services,2017-2018,43297220.83
6_industrial_products_and_services,2018-2019,43745394.09
6_industrial_products_and_services,2019-2020,44815489.15
6_industrial_products_and_services,2020-2021,44315725.57
6_industrial_products_and_services,2021-2022,8704226.15
7_travel,2017-2018,92589.92
7_travel,2018-2019,324959.34
7_travel,2021-2022,94664.00
8_security_and_protection,2017-2018,4710492.44
8_security_and_protection,2018-2019,4431976.88
8_security_and_protection,2019-2020,4557942.46
8_security_and_protection,2020-2021,5917587.51
8_security_and_protection,2021-2022,6458674.43
9_human_capital,2017-2018,11165524.02
9_human_capital,2018-2019,14801897.36
9_human_capital,2019-2020,43479339.71
9_human_capital,2020-2021,45834440.04
9_human_capital,2021-2022,39988334.11
NA,2017-2018,654286.17
NA,2018-2019,405049.89
NA,2020-2021,173448.06
NA,2021-2022,64705.28
