owner_org,d_fiscal_year,total
aafc-aac,2017-2018,85683.11
aafc-aac,2018-2019,387503.44
aafc-aac,2019-2020,394051.70
aafc-aac,2020-2021,1949407.90
aandc-aadnc,2017-2018,402268.23
aandc-aadnc,2018-2019,223503.13
aandc-aadnc,2019-2020,168013.94
aandc-aadnc,2020-2021,70641.17
acoa-apeca,2017-2018,172523.31
acoa-apeca,2018-2019,158518.88
acoa-apeca,2019-2020,145833.28
atssc-scdata,2017-2018,19265.37
cas-satj,2017-2018,14280.82
cas-satj,2018-2019,11119.20
cas-satj,2019-2020,21144.56
cas-satj,2020-2021,3794.54
cbsa-asfc,2017-2018,723682.30
cbsa-asfc,2018-2019,67668.51
cbsa-asfc,2019-2020,1869360.62
cbsa-asfc,2020-2021,674390.17
ccohs-cchst,2020-2021,8135.81
ced-dec,2020-2021,389.63
cer-rec,2017-2018,519.94
cer-rec,2018-2019,10052.25
cfia-acia,2017-2018,64785.25
cfia-acia,2018-2019,45606.54
cfia-acia,2019-2020,17920.16
cgc-ccg,2018-2019,12375.87
cgc-ccg,2019-2020,489.04
cgc-ccg,2020-2021,10010.96
cic,2017-2018,459329.92
cic,2019-2020,42950.10
cic,2020-2021,247123.26
cnsc-ccsn,2017-2018,13383.72
cnsc-ccsn,2020-2021,13763.28
cpc-cpp,2017-2018,173635.80
cra-arc,2017-2018,4298312.08
cra-arc,2018-2019,10448564.61
cra-arc,2019-2020,3993620.33
cra-arc,2020-2021,3087102.36
crtc,2020-2021,18507.64
csa-asc,2018-2019,37531.30
csa-asc,2019-2020,1814.32
csa-asc,2020-2021,213820.15
csc-scc,2017-2018,108233.23
csc-scc,2019-2020,61348.98
csc-scc,2020-2021,1893851.38
csps-efpc,2017-2018,54798.66
csps-efpc,2018-2019,30711.70
csps-efpc,2019-2020,44851.75
csps-efpc,2020-2021,28936.93
cta-otc,2018-2019,27511.73
cta-otc,2019-2020,41931.68
cta-otc,2020-2021,24742.63
dfatd-maecd,2017-2018,275693.00
dfatd-maecd,2018-2019,435851.07
dfatd-maecd,2019-2020,379943.93
dfatd-maecd,2020-2021,1514912.17
dfo-mpo,2017-2018,4020219.83
dfo-mpo,2018-2019,1474665.60
dfo-mpo,2019-2020,761989.57
dfo-mpo,2020-2021,411230.81
dnd-mdn,2017-2018,5107067.88
dnd-mdn,2018-2019,2619957.37
dnd-mdn,2019-2020,4233256.79
dnd-mdn,2020-2021,10170614.62
ec,2017-2018,305741.00
ec,2018-2019,2381598.38
ec,2019-2020,142791.25
ec,2020-2021,73096.29
elections,2017-2018,359644.86
elections,2018-2019,111977.56
elections,2019-2020,61814.88
elections,2020-2021,127506.24
esdc-edsc,2017-2018,1363890.40
esdc-edsc,2018-2019,144247.18
esdc-edsc,2019-2020,664357.94
esdc-edsc,2020-2021,2525391.87
fcac-acfc,2018-2019,23594.40
fcac-acfc,2019-2020,16485.13
fcac-acfc,2020-2021,70369.75
fin,2017-2018,918790.34
fin,2019-2020,10492.67
fin,2020-2021,37170.19
fintrac-canafe,2019-2020,393.36
fintrac-canafe,2020-2021,1046.34
fja-cmf,2020-2021,18989.24
hc-sc,2017-2018,252772.55
hc-sc,2018-2019,55136.89
hc-sc,2019-2020,3078204.26
hc-sc,2020-2021,452769.40
ic,2017-2018,163243.50
ic,2018-2019,56509.96
ic,2019-2020,146354.40
ic,2020-2021,355744.91
ijc-cmi,2018-2019,11011.39
ijc-cmi,2019-2020,70583.73
ijc-cmi,2020-2021,108907.79
infc,2018-2019,22341.59
irb-cisr,2019-2020,600214.94
irb-cisr,2020-2021,553451.06
isc-sac,2018-2019,188004.56
isc-sac,2020-2021,190176.56
jus,2017-2018,28122.42
jus,2018-2019,61548.28
jus,2019-2020,3055633.98
jus,2020-2021,70312.05
lac-bac,2017-2018,61115.28
lac-bac,2018-2019,91873.45
lac-bac,2019-2020,103213.39
lac-bac,2020-2021,112392.64
nfb-onf,2017-2018,84753.74
nfb-onf,2019-2020,11354.93
nfb-onf,2020-2021,20339.42
nrc-cnrc,2017-2018,280980.61
nrc-cnrc,2019-2020,33820.90
nrc-cnrc,2020-2021,12461.29
nrcan-rncan,2017-2018,26040.00
nrcan-rncan,2018-2019,1124207.15
nrcan-rncan,2019-2020,687497.24
nrcan-rncan,2020-2021,344062.58
nserc-crsng,2018-2019,41873.35
oag-bvg,2018-2019,97938.93
oag-bvg,2019-2020,169622.46
oag-bvg,2020-2021,647234.56
oic-ci,2018-2019,88089.40
oic-ci,2019-2020,45326.92
oic-ci,2020-2021,40335.91
opc-cpvp,2017-2018,24665.54
opc-cpvp,2019-2020,18103.73
opc-cpvp,2020-2021,24845.83
osfi-bsif,2017-2018,34994.98
osfi-bsif,2020-2021,22776.87
osgg-bsgg,2017-2018,1223.88
osgg-bsgg,2018-2019,10838.14
osgg-bsgg,2019-2020,19062.23
osgg-bsgg,2020-2021,33812.71
pc,2017-2018,1655508.07
pc,2018-2019,346187.28
pc,2019-2020,293449.29
pc,2020-2021,273166.16
pch,2017-2018,23109.98
pch,2020-2021,23230.70
pco-bcp,2017-2018,50325.41
pco-bcp,2018-2019,188943.77
pco-bcp,2019-2020,7183.37
pco-bcp,2020-2021,204515.98
phac-aspc,2017-2018,102161.94
phac-aspc,2018-2019,12696.86
phac-aspc,2019-2020,754.94
phac-aspc,2020-2021,17363.52
ppsc-sppc,2020-2021,71816.48
ps-sp,2017-2018,18597.95
ps-sp,2018-2019,3414.14
ps-sp,2019-2020,3423.49
psic-ispc,2020-2021,49581.41
pwgsc-tpsgc,2017-2018,1322159.51
pwgsc-tpsgc,2018-2019,238311.81
pwgsc-tpsgc,2019-2020,2745663.15
pwgsc-tpsgc,2020-2021,1626320.28
rcmp-grc,2017-2018,242454.36
rcmp-grc,2018-2019,419239.56
