d_most_recent_category,total,percentage
2_professional_services,296539916.7012068,0.6228817731934515
3_information_technology,165960541.50302923,0.3485999373086475
9_human_capital,6811816.992895605,0.014308214200651093
10_office_management,4091019.636819779,0.008593182307119612
8_security_and_protection,2240092.2117127073,0.004705311259510357
4_medical,154468.92329019122,3.2446180572453766e-4
1_facilities_and_construction,126690.17,2.661125645870213e-4
5_transportation_and_logistics,55151.91000000001,1.1584652709813704e-4
6_industrial_products_and_services,52398.75,1.1006351750616629e-4
7_travel,45273.68,9.509731570406871e-5
