d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,66198.51
1_facilities_and_construction,2021-2022,14608.65
11_defence,2017-2018,887890.47
11_defence,2018-2019,1063.53
11_defence,2019-2020,459231.12
11_defence,2020-2021,363013.13
11_defence,2021-2022,560906.53
3_information_technology,2017-2018,153612.36
3_information_technology,2018-2019,37792.34
3_information_technology,2019-2020,66594.50
3_information_technology,2021-2022,312246.60
5_transportation_and_logistics,2017-2018,2194261.67
5_transportation_and_logistics,2018-2019,263832.82
5_transportation_and_logistics,2019-2020,803094.16
5_transportation_and_logistics,2020-2021,1181299.71
5_transportation_and_logistics,2021-2022,2733761.54
6_industrial_products_and_services,2017-2018,461833.44
6_industrial_products_and_services,2019-2020,210327.93
6_industrial_products_and_services,2020-2021,175031.45
6_industrial_products_and_services,2021-2022,13802.95
