d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
11_defence,2017-2018,197415.58,202551.01
11_defence,2018-2019,185903.82,188782.60
11_defence,2019-2020,326662.27,324339.40
11_defence,2020-2021,196306.95,186633.52
11_defence,2021-2022,110250.00,102343.79
2_professional_services,2017-2018,447666.05,459189.05
2_professional_services,2018-2019,269883.86,273943.88
2_professional_services,2019-2020,280183.90,277804.01
2_professional_services,2020-2021,550862.34,523833.33
2_professional_services,2021-2022,725659.13,670690.51
3_information_technology,2017-2018,0.00,0.00
5_transportation_and_logistics,2017-2018,2277461.29,2336046.58
5_transportation_and_logistics,2018-2019,2604932.06,2645297.51
5_transportation_and_logistics,2019-2020,2901644.04,2875965.00
5_transportation_and_logistics,2020-2021,2187504.60,2079929.42
5_transportation_and_logistics,2021-2022,1936339.55,1796267.66
