d_most_recent_category,total,percentage
1_facilities_and_construction,260374201.56679195,0.35695940932741316
6_industrial_products_and_services,161023525.57588336,0.2207548299006124
3_information_technology,113564828.92437999,0.15569143951005635
2_professional_services,94539214.89496334,0.1296083179674262
10_office_management,61810481.53992883,0.08473893668407886
8_security_and_protection,15549061.97210936,0.021316950541798198
5_transportation_and_logistics,13839881.137963507,0.018973753030988232
9_human_capital,7521558.652009722,0.010311663434728375
4_medical,1150953.199277262,0.0015778966261068574
7_travel,48727.59,6.68029767914102e-5
