d_most_recent_category,total,percentage
1_facilities_and_construction,263905424.86623034,0.3620276391045421
6_industrial_products_and_services,161249368.15239242,0.22120321357130135
3_information_technology,113078440.6037714,0.1551219377402233
2_professional_services,94233093.16326958,0.12926973464342092
10_office_management,58974890.601981126,0.08090224148255437
8_security_and_protection,15178943.782109361,0.02082260030964901
5_transportation_and_logistics,13623452.787963508,0.018688764930764917
9_human_capital,7521558.652009722,0.010318136213204696
4_medical,1150953.199277262,0.0015788870943648618
7_travel,48727.59,6.684490997445738e-5
