d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,46550.35
1_facilities_and_construction,2018-2019,18745.50
1_facilities_and_construction,2019-2020,1673.70
11_defence,2017-2018,42912.24
11_defence,2018-2019,118027.79
11_defence,2019-2020,114180.52
11_defence,2020-2021,325990.34
11_defence,2021-2022,4249.19
2_professional_services,2021-2022,8571.70
3_information_technology,2017-2018,442963.17
3_information_technology,2018-2019,1209388.62
3_information_technology,2019-2020,1859653.03
3_information_technology,2020-2021,1382392.97
3_information_technology,2021-2022,1709937.66
6_industrial_products_and_services,2017-2018,44121.98
6_industrial_products_and_services,2018-2019,49062.53
6_industrial_products_and_services,2019-2020,98605.34
6_industrial_products_and_services,2020-2021,41534.40
6_industrial_products_and_services,2021-2022,22743.66
NA,2019-2020,11881.95
