d_most_recent_category,d_fiscal_year,total
0_other,2019-2020,67.51
0_other,2020-2021,24573.45
0_other,2021-2022,26294.52
1_facilities_and_construction,2017-2018,649777.20
1_facilities_and_construction,2018-2019,672266.07
1_facilities_and_construction,2019-2020,926680.60
1_facilities_and_construction,2020-2021,1066177.34
1_facilities_and_construction,2021-2022,1604673.30
11_defence,2017-2018,4294.38
11_defence,2018-2019,28835.83
11_defence,2019-2020,44454.91
11_defence,2020-2021,10504.38
2_professional_services,2017-2018,42000.39
2_professional_services,2018-2019,29077.13
2_professional_services,2019-2020,221789.11
2_professional_services,2020-2021,23991.02
2_professional_services,2021-2022,160582.52
3_information_technology,2017-2018,53090.77
3_information_technology,2018-2019,78390.65
3_information_technology,2019-2020,323905.68
3_information_technology,2020-2021,547952.39
3_information_technology,2021-2022,811680.52
4_medical,2017-2018,45889.82
4_medical,2018-2019,193201.05
4_medical,2020-2021,31207.76
4_medical,2021-2022,43595.97
6_industrial_products_and_services,2017-2018,5288971.58
6_industrial_products_and_services,2018-2019,5365824.37
6_industrial_products_and_services,2019-2020,6892807.44
6_industrial_products_and_services,2020-2021,7156289.35
6_industrial_products_and_services,2021-2022,7531621.31
9_human_capital,2017-2018,92356.06
9_human_capital,2018-2019,244598.89
9_human_capital,2019-2020,36554.71
9_human_capital,2021-2022,43952.30
