d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,3177115.69
1_facilities_and_construction,2018-2019,4043756.83
1_facilities_and_construction,2019-2020,3519491.62
1_facilities_and_construction,2020-2021,1744422.97
1_facilities_and_construction,2021-2022,1428658.12
2_professional_services,2017-2018,1029153.05
2_professional_services,2018-2019,812225.81
2_professional_services,2019-2020,661158.98
2_professional_services,2020-2021,759776.45
2_professional_services,2021-2022,605200.43
6_industrial_products_and_services,2017-2018,257458.66
6_industrial_products_and_services,2018-2019,211061.90
6_industrial_products_and_services,2019-2020,189052.71
6_industrial_products_and_services,2020-2021,188536.18
6_industrial_products_and_services,2021-2022,172130.28
8_security_and_protection,2017-2018,46048.64
8_security_and_protection,2020-2021,53612.65
8_security_and_protection,2021-2022,90116.41
