owner_org,d_fiscal_year,total
cra-arc,2020-2021,37608.679643835625
csa-asc,2017-2018,22317.012517985608
csa-asc,2018-2019,227289.2154523114
csa-asc,2019-2020,367280.0397029703
csa-asc,2020-2021,366276.54232673266
dfo-mpo,2017-2018,680000.1
dfo-mpo,2018-2019,1080252.2290349077
dfo-mpo,2019-2020,3081855.8172636256
dfo-mpo,2020-2021,1209948.2312338222
dnd-mdn,2017-2018,127189144.01446034
dnd-mdn,2018-2019,123721296.4169923
dnd-mdn,2019-2020,138789853.12194824
dnd-mdn,2020-2021,136304674.4105329
hc-sc,2020-2021,6210.819616438356
nrc-cnrc,2017-2018,79632.97551724139
nrc-cnrc,2018-2019,61149.85448275862
nrc-cnrc,2020-2021,53415.0856626506
rcmp-grc,2017-2018,65909.29000000001
rcmp-grc,2020-2021,148196.760243235
ssc-spc,2017-2018,281563.0617626349
ssc-spc,2018-2019,768541.3029620481
ssc-spc,2019-2020,60318.023232876716
