d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
0_other,2017-2018,147000.00,150605.48
0_other,2018-2019,131250.00,132541.37
0_other,2019-2020,120750.00,120386.66
0_other,2020-2021,40303.20,38253.45
0_other,2021-2022,39913.28,36180.64
1_facilities_and_construction,2018-2019,327380.27,330850.26
1_facilities_and_construction,2019-2020,459367.73,456773.06
1_facilities_and_construction,2020-2021,788401.01,751136.29
1_facilities_and_construction,2021-2022,303001.44,285735.63
2_professional_services,2017-2018,387984.27,397774.50
2_professional_services,2018-2019,289889.91,294021.22
2_professional_services,2019-2020,1298052.04,1275685.70
2_professional_services,2020-2021,1456788.90,1383051.75
2_professional_services,2021-2022,733955.16,675592.64
3_information_technology,2017-2018,61095.11,62678.28
3_information_technology,2018-2019,61095.11,62045.23
6_industrial_products_and_services,2018-2019,22500.00,22814.62
6_industrial_products_and_services,2019-2020,12000.00,11863.40
8_security_and_protection,2020-2021,12768.98,12141.52
8_security_and_protection,2021-2022,14431.47,13366.60
9_human_capital,2017-2018,62524.25,64080.33
9_human_capital,2018-2019,12465.75,12736.50
9_human_capital,2019-2020,94495.90,93418.86
9_human_capital,2020-2021,73187.17,69588.08
9_human_capital,2021-2022,62880.00,58380.62
