d_vendor_name,d_fiscal_year,total
ADGA GROUP,2017-2018,45734.84957746479
ADGA GROUP,2018-2019,78741.60422535212
ADGA GROUP,2019-2020,78957.33464788733
ADGA GROUP,2020-2021,78741.60422535212
ADVANCED BUSINESS INTERIORS,2020-2021,22530.5
ALTIS HUMAN RESOURCES,2017-2018,23336.25
ALTIS HUMAN RESOURCES,2019-2020,162522.02
ALTIS HUMAN RESOURCES,2020-2021,13148.186301369862
ASOKAN BUSINESS INTERIORS,2018-2019,23857.309999999998
ASOKAN BUSINESS INTERIORS,2019-2020,61258.67
AVI SPL CANADA,2017-2018,60422.2874523742
AVI SPL CANADA,2018-2019,314983.5154420437
AVI SPL CANADA,2019-2020,149851.4594749481
AVI SPL CANADA,2020-2021,47128.769671232876
BLACKBERRY,2019-2020,1181.1700819672133
BLACKBERRY,2020-2021,73246.73991803278
BROOKFIELD GLOBAL INTEGRATED SOLUTIONS,2017-2018,42827.42
BROOKFIELD GLOBAL INTEGRATED SOLUTIONS,2018-2019,26388.07
BROOKFIELD GLOBAL INTEGRATED SOLUTIONS,2019-2020,27028.89
BROOKFIELD GLOBAL INTEGRATED SOLUTIONS,2020-2021,39046.17
CISION CANADA,2020-2021,6368.269450549451
DELL COMPUTER,2020-2021,41064.47
EXCEL HUMAN RESOURCES,2017-2018,19577.25
EXCEL HUMAN RESOURCES,2018-2019,24659.25
EXCEL HUMAN RESOURCES,2020-2021,227426.7534306569
FORD MOTOR COMPANY,2017-2018,32084.85
GARTNER,2017-2018,40804.82630136986
GARTNER,2018-2019,20486.373698630137
GENESIS INTEGRATION,2017-2018,28382.299166666668
GOSS GILROY,2019-2020,30069.38
GROUPE ONSCOPE,2018-2019,9185.417236662108
GROUPE ONSCOPE,2019-2020,9210.582763337894
GROUPE ONSCOPE,2020-2021,0
INFO TECH RESEARCH GROUP,2017-2018,6354.657534246575
INFO TECH RESEARCH GROUP,2018-2019,164307.0954069299
INFO TECH RESEARCH GROUP,2019-2020,18312.50521906092
INFO TECH RESEARCH GROUP,2020-2021,178277.87964798178
INSA,2017-2018,60390.290319634696
INSA,2018-2019,15675.03393495935
INSA,2019-2020,14863.902731707318
INSA,2020-2021,12260.465315068494
MAXSYS STAFFING AND CONSULTING,2017-2018,36736.235
MAXSYS STAFFING AND CONSULTING,2018-2019,10804.775000000001
MDOS CONSULTING,2017-2018,24144.75
MICHEL BASTARACHE SOCIETE PROFESSIONNELLE,2017-2018,41390.979999999996
MICROSOFT CANADA,2017-2018,89818.59000000001
MICROSOFT CANADA,2019-2020,110404.02309737974
MICROSOFT CANADA,2020-2021,110102.3727610481
"NATIONS TRANSLATION GROUP",2020-2021,0
"NAVPOINT CONSULTING GROUP",2020-2021,90315.25000000001
NEWFOUND RECRUITING,2018-2019,49145.95100719425
NEWFOUND RECRUITING,2019-2020,149231.78899280576
NISHA TECHONOLOGIES,2017-2018,239137.33551912569
NISHA TECHONOLOGIES,2018-2019,47005.427814207644
NISHA TECHONOLOGIES,2019-2020,833046.8684018265
OPENTEXT,2017-2018,52056.0595341615
OPENTEXT,2018-2019,47361.30046583851
OPENTEXT,2020-2021,39424.93
PRA,2017-2018,24727.5
PRA,2020-2021,15750
PRICEWATERHOUSE COOPERS,2020-2021,39091.15
PROCOM CONSULTANTS,2017-2018,13797
PURESPIRIT SOLUTIONS,2018-2019,188409.02
PURESPIRIT SOLUTIONS,2019-2020,37396.33
QMR,2017-2018,70074.3152811736
QMR,2019-2020,165674.8295522388
QMR,2020-2021,23317.806841203816
R E GILMORE INVESTMENTS,2017-2018,10002.83
RAYMOND CHABOT GRANT THORNTON,2017-2018,113873.09511861314
RAYMOND CHABOT GRANT THORNTON,2018-2019,149729.5107208029
RAYMOND CHABOT GRANT THORNTON,2019-2020,214686.7712819714
RAYMOND CHABOT GRANT THORNTON,2020-2021,250489.46314949208
SOFTCHOICE,2018-2019,116065.70004708905
SOFTCHOICE,2019-2020,64631.12684261089
SOFTCHOICE,2020-2021,44939.286962692626
SRA STAFFING SOLUTIONS,2017-2018,73835.85221932115
SRA STAFFING SOLUTIONS,2018-2019,66159.84778067886
TEKNION,2018-2019,14150.2
TEKNION,2019-2020,14989.710000000003
TEKNION,2020-2021,11531.26
TEKSYSTEMS CANADA,2017-2018,114286.16396396396
TEKSYSTEMS CANADA,2018-2019,306884.01884210407
TEKSYSTEMS CANADA,2019-2020,232108.01003264164
TEKSYSTEMS CANADA,2020-2021,40714.25716129032
TOTEM OFFISOURCE,2019-2020,14607.1
TURTLE ISLAND STAFFING,2017-2018,43360.52156343823
TURTLE ISLAND STAFFING,2018-2019,68077.39196597354
UBIQUS CANADA,2020-2021,0
WORKDYNAMICS TECHNOLOGIES,2017-2018,89193.65000000001
