d_vendor_name,overall_total
NISHA TECHONOLOGIES,1184093.95
RAYMOND CHABOT GRANT THORNTON,893895.81
AVI SPL CANADA,785947.95
TEKSYSTEMS CANADA,693992.45
INFO TECH RESEARCH GROUP,597025.45
EXCEL HUMAN RESOURCES,586375.84
MICROSOFT CANADA,443422.36
ALTIS HUMAN RESOURCES,388676.59
ADGA GROUP,321654.06
QMR,302264.01
SOFTCHOICE,271184.77
PURESPIRIT SOLUTIONS,225805.35
NEWFOUND RECRUITING,198377.74
BROOKFIELD GLOBAL INTEGRATED SOLUTIONS,159723.80
SRA STAFFING SOLUTIONS,139995.70
OPENTEXT,138842.29
ENVIRONICS RESEARCH GROUP,136173.93
INSA,123343.19
BLACKBERRY,117092.17
TURTLE ISLAND STAFFING,111437.91
"NAVPOINT CONSULTING GROUP",90315.25
WORKDYNAMICS TECHNOLOGIES,89193.65
ASOKAN BUSINESS INTERIORS,85115.98
GARTNER,61291.20
ADVANCED BUSINESS INTERIORS,54013.94
MAXSYS STAFFING AND CONSULTING,47541.01
MICHEL BASTARACHE SOCIETE PROFESSIONNELLE,41390.98
DELL COMPUTER,41064.47
TEKNION,40671.17
PRA,40477.50
PRICEWATERHOUSE COOPERS,39091.15
TOTEM OFFISOURCE,37563.46
GLOBAL UPHOLSTERY,35152.92
CISION CANADA,32195.14
FORD MOTOR COMPANY,32084.85
GOSS GILROY,30069.38
GENESIS INTEGRATION,28382.30
MDOS CONSULTING,24144.75
GROUPE ONSCOPE,18396.00
PROCOM CONSULTANTS,13797.00
R E GILMORE INVESTMENTS,10002.83
"NATIONS TRANSLATION GROUP",0.00
UBIQUS CANADA,0.00
