d_vendor_name,d_fiscal_year,total
CANADIAN CORPS OF COMMISSIONAIRES,2017-2018,555770.00
CANADIAN CORPS OF COMMISSIONAIRES,2018-2019,524014.33
CANADIAN CORPS OF COMMISSIONAIRES,2019-2020,608746.67
CANADIAN CORPS OF COMMISSIONAIRES,2020-2021,568896.00
ERNST YOUNG,2017-2018,25754.00
ERNST YOUNG,2018-2019,25754.40
ERNST YOUNG,2019-2020,24950.00
ERNST YOUNG,2020-2021,24950.00
FORD MOTOR COMPANY,2017-2018,62092.10
FORD MOTOR COMPANY,2018-2019,54525.90
FORD MOTOR COMPANY,2019-2020,463.00
HONEYWELL,2018-2019,7616.79
HONEYWELL,2019-2020,15317.28
HONEYWELL,2020-2021,15275.43
PALADIN GROUP,2018-2019,41249.76
SOLOTECH,2018-2019,28294.00
