d_vendor_name,d_fiscal_year,total,total_constant_2019_dollars
CANADIAN CORPS OF COMMISSIONAIRES,2017-2018,555770.00,570171.82
CANADIAN CORPS OF COMMISSIONAIRES,2018-2019,524014.33,532163.53
CANADIAN CORPS OF COMMISSIONAIRES,2019-2020,608746.67,604126.07
CANADIAN CORPS OF COMMISSIONAIRES,2020-2021,568896.00,540832.52
CANADIAN CORPS OF COMMISSIONAIRES,2021-2022,595530.00,552916.85
COMPUGEN,2018-2019,51508.00,52089.05
COMPUGEN,2020-2021,28432.00,26772.08
COSSETTE COMMUNICATIONS,2021-2022,15269.91,13791.78
ERNST YOUNG,2017-2018,25754.00,26432.97
ERNST YOUNG,2018-2019,25754.40,26313.77
ERNST YOUNG,2019-2020,24950.00,25038.71
ERNST YOUNG,2020-2021,24950.00,23552.30
ERNST YOUNG,2021-2022,24950.00,23591.75
FORD MOTOR COMPANY,2017-2018,62092.10,63584.31
FORD MOTOR COMPANY,2018-2019,54525.90,55304.01
FORD MOTOR COMPANY,2019-2020,463.00,464.65
HONEYWELL,2018-2019,7616.79,7702.19
HONEYWELL,2019-2020,15317.28,15188.02
HONEYWELL,2020-2021,15275.43,14521.90
HONEYWELL,2021-2022,30707.43,28510.16
NORTHERN MICRO,2019-2020,65602.00,64014.40
NORTHERN MICRO,2020-2021,78459.00,73958.90
NORTHERN MICRO,2021-2022,91322.70,84369.32
PALADIN GROUP,2018-2019,41249.76,42123.23
RAYMOND CHABOT GRANT THORNTON,2021-2022,61972.00,57537.59
SOLOTECH,2018-2019,28294.00,28617.41
STANTEC,2021-2022,64386.02,58987.90
