owner_org,d_fiscal_year,total,total_constant_2019_dollars
cbsa-asfc,2017-2018,2438821.86,2503287.66
cbsa-asfc,2018-2019,3243548.22,3293990.19
cbsa-asfc,2019-2020,3252434.65,3224987.44
cbsa-asfc,2020-2021,1152522.93,1092219.58
cbsa-asfc,2021-2022,674540.15,626273.43
cic,2018-2019,4995000.00,5086721.43
cic,2020-2021,10731.86,10208.89
cic,2021-2022,87489.85,79273.34
dfatd-maecd,2019-2020,192255.95,187603.26
dnd-mdn,2017-2018,175113.73,179652.81
dnd-mdn,2018-2019,173014.50,175705.13
dnd-mdn,2019-2020,56407.47,56537.37
nrcan-rncan,2017-2018,7699.07,7898.57
nrcan-rncan,2018-2019,7699.07,7818.80
nrcan-rncan,2019-2020,3860.08,3863.47
phac-aspc,2019-2020,1536157.70,1498981.88
phac-aspc,2020-2021,19586871.58,18538792.95
phac-aspc,2021-2022,74850745.58,69910955.88
