d_most_recent_category,total,percentage
5_transportation_and_logistics,2935480468.3682485,0.5320577900926928
1_facilities_and_construction,1487037433.3282013,0.26952652524426884
2_professional_services,504898209.7814657,0.09151313681450252
6_industrial_products_and_services,236656723.01473275,0.0428941886735802
3_information_technology,213239553.29701078,0.038649811065044296
10_office_management,42631581.92600817,0.007727002619205312
8_security_and_protection,35765388.55946357,0.006482500498234449
7_travel,29136974.28,0.005281095995171743
9_human_capital,17988141.672845267,0.0032603626593531478
NA,11350827.06,0.0020573449649368687
4_medical,3035803.3157956963,5.502413730097766e-4
