d_vendor_name,d_fiscal_year,total
2220742 ONTARIO,2017-2018,2845668.12
2220742 ONTARIO,2018-2019,1142034.8
3D DATACOMM,2017-2018,219603.66
3D DATACOMM,2018-2019,157830.51
3D DATACOMM,2019-2020,2016645.3599999999
3D DATACOMM,2020-2021,745535.08
4PLAN CONSULTING,2017-2018,24916.5
851791 NWT,2017-2018,102621.23
ABB,2017-2018,36731200.457547836
ABB,2018-2019,5702823.650040228
ABB,2019-2020,5780609.331677957
ABB,2020-2021,6625803.264972902
ACART COMMUNICATIONS,2017-2018,10819.75
ACCESS 2 NETWORKS,2018-2019,145431
ACKLANDS GRAINGER,2017-2018,33817.252966869506
ACKLANDS GRAINGER,2018-2019,377444.1970331305
ACKLANDS GRAINGER,2019-2020,85029.09
ACKLANDS GRAINGER,2020-2021,213678.99000000002
ADAPT PHARMA CANADA,2017-2018,22770
ADAPT PHARMA CANADA,2018-2019,14766
ADAPT PHARMA CANADA,2019-2020,69798.75
ADAPT PHARMA CANADA,2020-2021,12696
ADOBE,2019-2020,68982.07
ADOBE,2020-2021,39408.75
ADRM TECHNOLOGY CONSULTING,2019-2020,66334.82619422572
ADRM TECHNOLOGY CONSULTING,2020-2021,24576.50380577428
ADVANCED BUSINESS INTERIORS,2018-2019,136318.03
ADVANCED BUSINESS INTERIORS,2019-2020,19901
ADVANCED CHIPPEWA TECHNOLOGIES,2017-2018,85515.28
ADVANCED CHIPPEWA TECHNOLOGIES,2018-2019,72279.59
ADVANCED CHIPPEWA TECHNOLOGIES,2019-2020,110927.71543766579
ADVANCED CHIPPEWA TECHNOLOGIES,2020-2021,139620.4843343212
AECOM,2017-2018,303633.6295774648
AECOM,2018-2019,449467.2058326327
AECOM,2019-2020,365588.5896172249
AECOM,2020-2021,593446.5649726776
AFC INDUSTRIES,2017-2018,30392.21
AFC INDUSTRIES,2018-2019,22120.673076923078
AFC INDUSTRIES,2019-2020,18960.576923076922
AFN ENGINEERING,2017-2018,2142525.8665390643
AFN ENGINEERING,2018-2019,2241947.1323453616
AFN ENGINEERING,2019-2020,1685379.3929926206
AFN ENGINEERING,2020-2021,1356130.158093799
AGILENT,2017-2018,124326.68000000001
AGILENT,2018-2019,84928.8
AGILENT,2019-2020,294624.88
AGILENT,2020-2021,371043.37
AIR TINDI,2018-2019,14278.240000000002
AIR TINDI,2019-2020,20290.86
AIRBUS,2017-2018,223504.31999999998
AIRBUS,2018-2019,19940.71
AIRBUS,2020-2021,35241
ALLIED SHIPBUILDERS,2017-2018,7317942.854707622
ALLIED SHIPBUILDERS,2018-2019,9898688.317028975
ALLIED SHIPBUILDERS,2019-2020,7289819.927872341
ALLIED SHIPBUILDERS,2020-2021,8425142.223490363
ALS CANADA,2017-2018,33250.26
ALS CANADA,2018-2019,27165.84
ALS CANADA,2019-2020,40791.14
ALS CANADA,2020-2021,30484.789999999997
ALTIS HUMAN RESOURCES,2017-2018,1657810.8944694616
ALTIS HUMAN RESOURCES,2018-2019,1348007.249628424
ALTIS HUMAN RESOURCES,2019-2020,1824710.4221219656
ALTIS HUMAN RESOURCES,2020-2021,2074367.6754848459
ALVA CONSTRUCTION,2018-2019,576195.394736842
ALVA CONSTRUCTION,2019-2020,32010.855263157893
AMERICAN BUREAU OF SHIPPING,2018-2019,840150.5801416102
AMERICAN BUREAU OF SHIPPING,2019-2020,1903612.0310869368
AMERICAN BUREAU OF SHIPPING,2020-2021,1985901.3267335917
AMTEK ENGINEERING,2017-2018,165016.6175569521
AMTEK ENGINEERING,2018-2019,165016.6175569521
ANIXTER CANADA,2017-2018,24498.07
ANIXTER CANADA,2018-2019,55996.64000000001
ANIXTER CANADA,2019-2020,14455.25
ANIXTER CANADA,2020-2021,66626.22
AON REED STENHOUSE,2017-2018,401346.55000000005
AON REED STENHOUSE,2018-2019,370480.37
AON REED STENHOUSE,2019-2020,11425.38
AON REED STENHOUSE,2020-2021,957272.2400000001
APPLIED ELECTONICS,2019-2020,65814.36
APRON FUEL SERVICES,2017-2018,193917.76
APRON FUEL SERVICES,2018-2019,259263.43
APRON FUEL SERVICES,2019-2020,54222.899999999994
AQUA GUARD SPILL RESPONSE,2018-2019,3506030.5800000005
AQUA GUARD SPILL RESPONSE,2019-2020,908841.1153108347
AQUA GUARD SPILL RESPONSE,2020-2021,1675388.924689165
AQUA LUNG CANADA,2017-2018,11017.500000000002
ARCHITECTURE 49,2018-2019,44782.5
ARCHITECTURE 49,2019-2020,125115.9
ARCHITECTURE 49,2020-2021,48936.299999999996
ARCTIC CANADA CONSTRUCTION,2019-2020,680984.71
ARDENT GLOBAL,2018-2019,15924435.879999999
ARTEMP PERSONNEL SERVICES,2019-2020,97462.5
ARTEMP PERSONNEL SERVICES,2020-2021,148736.25
ASOKAN BUSINESS INTERIORS,2017-2018,58560.17
ASOKAN BUSINESS INTERIORS,2018-2019,66360.17
ASOKAN BUSINESS INTERIORS,2019-2020,210410.21
ATCO,2017-2018,22140.291299624147
ATCO,2018-2019,11139.238372093023
ATLANTIC BUSINESS INTERIORS,2017-2018,577079.68
ATLANTIC BUSINESS INTERIORS,2018-2019,209886.9
ATLANTIC BUSINESS INTERIORS,2019-2020,409781.09
ATLANTIC BUSINESS INTERIORS,2020-2021,166948.73
ATLANTIC TOWING,2018-2019,14769875.744680852
ATLANTIC TOWING,2019-2020,27028872.612765957
ATLANTIC TOWING,2020-2021,30345022.104042552
ATLANTICA MECHANICAL CONTRACTORS,2017-2018,128617.15000000001
ATS SERVICES,2018-2019,37218.6
AV TECH,2018-2019,786691.5838536585
AV TECH,2019-2020,1156341.8461463414
AVI SPL CANADA,2017-2018,277484.04
AVI SPL CANADA,2018-2019,22373.65
AVI SPL CANADA,2019-2020,180974.39
AVI SPL CANADA,2020-2021,382224.32
AVJET HOLDING,2018-2019,28484.460000000003
AVONDALE CONSTRUCTION,2017-2018,26590.18
AVONDALE CONSTRUCTION,2018-2019,475207.80000000005
AZIMUTH CONSULTING GROUP,2019-2020,0
AZIMUTH CONSULTING GROUP,2020-2021,108846.31000000001
B R ENTERPRISES,2017-2018,1197098.25
B R ENTERPRISES,2018-2019,3086314.240610687
B R ENTERPRISES,2019-2020,2461701.049389313
B R ENTERPRISES,2020-2021,1663566.53
BALODIS,2018-2019,243000.12
BALODIS,2019-2020,288780.07
BALODIS,2020-2021,244707.53711864405
BARGREEN ELLINGSON CANADA,2017-2018,126956.28
BARGREEN ELLINGSON CANADA,2018-2019,113230.39
BARGREEN ELLINGSON CANADA,2019-2020,1014791.07
BARGREEN ELLINGSON CANADA,2020-2021,508511.97000000003
BC HYDRO,2017-2018,1117710.54
BC HYDRO,2018-2019,1223832.4233633787
BC HYDRO,2019-2020,1349476.0666366213
BC HYDRO,2020-2021,1565444.6400000001
BDO CANADA,2017-2018,302501
BDO CANADA,2019-2020,0
BDO CANADA,2020-2021,706191.8221987315
BEAVER AIR CHARTER CONSULTANTS,2017-2018,6019850.58
BEAVER AIR CHARTER CONSULTANTS,2018-2019,4667817.7
BEAVER AIR CHARTER CONSULTANTS,2019-2020,6743168.56
BEAVER AIR CHARTER CONSULTANTS,2020-2021,3111617.44
BELL CANADA,2017-2018,2860333.787910109
BELL CANADA,2018-2019,1107173.1817148724
BELL CANADA,2019-2020,1226839.340375019
BELL CANADA,2020-2021,274037.71
BELL TEXTRON,2017-2018,44091692.724750005
BELL TEXTRON,2020-2021,6498953.7917017825
BGIS,2017-2018,233860.95
BGIS,2018-2019,127950.59000000001
BGIS,2019-2020,112105.53
BGIS,2020-2021,156262.02
BIOMERIEUX CANADA,2017-2018,24976.62
BLACK MCDONALD,2017-2018,79786.31883273166
BLACK MCDONALD,2018-2019,76910.46883273165
BLUEWAVE ENERGY,2017-2018,25597.100000000002
BLUEWAVE ENERGY,2018-2019,42220.54
BLUEWAVE ENERGY,2019-2020,24205.420000000002
BLUMETRIC ENVIRONMENTAL,2017-2018,47000.33
BLUMETRIC ENVIRONMENTAL,2018-2019,50228.78
BLUMETRIC ENVIRONMENTAL,2019-2020,19097
BLUMETRIC ENVIRONMENTAL,2020-2021,36798.73
BMT FLEET TECHNOLOGY,2017-2018,372846.64267553115
BMT FLEET TECHNOLOGY,2018-2019,135532.48968747462
BMT FLEET TECHNOLOGY,2019-2020,17849.5264
BMT FLEET TECHNOLOGY,2020-2021,76910
BOMBARDIER,2017-2018,488114.89
BOMBARDIER,2018-2019,110481.38999999998
BOMBARDIER,2019-2020,422431.24
BOMBARDIER,2020-2021,0
BRANDT TRACTOR,2019-2020,239560
BRANDT TRACTOR,2020-2021,185187.0588235294
BROADNET TELECOM,2018-2019,115663.8798918919
BROADNET TELECOM,2019-2020,10989218.450108109
BROADNET TELECOM,2020-2021,1625102.364228972
BROADWATER INDUSTRIES,2017-2018,5681934.3
BROADWATER INDUSTRIES,2018-2019,35221.200000000004
BROADWATER INDUSTRIES,2019-2020,129580.5
BROADWATER INDUSTRIES,2020-2021,1777809.5999999999
BRONSWERK MARINE,2017-2018,1823182.6373770493
BRONSWERK MARINE,2018-2019,2964.2852459016394
BRONSWERK MARINE,2019-2020,49514.79
BRONTE CONSTRUCTION PORT DALHOUSIE REHABILITATION TRUST ACCOUNT,2018-2019,3817673.2457244657
BRONTE CONSTRUCTION PORT DALHOUSIE REHABILITATION TRUST ACCOUNT,2019-2020,25404880.144275535
BROOK CONSTRUCTION 2007,2018-2019,0
BROOK CONSTRUCTION 2007,2020-2021,953050.89
BUREAU VERITAS CANADA 2019,2018-2019,0
BUREAU VERITAS CANADA 2019,2019-2020,0
BUREAU VERITAS CANADA 2019,2020-2021,15120
C CORE,2017-2018,395871.8045572917
C CORE,2018-2019,11270
CAE,2017-2018,5467196.246083259
CAE,2018-2019,5467196.246083259
CAE,2019-2020,5482174.865935542
CAE,2020-2021,5467196.246083259
CALIAN,2017-2018,1685100.745886966
