d_vendor_name,overall_total
TRANSWEST AIR,31347620.60
BEAVER AIR CHARTER CONSULTANTS,22849565.02
AIR INUIT,10234128.27
WESTJET,8000000.00
OTTAWA MARRIOTT HOTELS INNVEST HOTELS GP,6785252.88
BOEHM HOTEL,6500513.76
QATAR AIRWAYS,6152461.50
WEST WIND AVIATION,5549273.28
NOLINOR AVIATION,5316176.58
ETHIOPIAN AIRLINES GROUP,5164517.90
MOMENTUM SOLUTIONS,4520915.35
AIR INDIA,4265666.95
HEMMERA ENVIROCHEM,3083671.60
DSV,3046495.91
BOLLORE LOGISTICS,3040526.17
AMDOCS,2950805.20
BOYD MOVING STORAGE,2867151.99
PHILIPPINE AIRLINES,2646220.00
HUMAN LOGISTICS,2206478.43
MILLENNIUM LIMOUSINE SERVICE,2160485.98
LES AUTOBUS E MENARD ET FILS,1963460.07
WOOD CANADA,1692636.35
CHRONO AVIATION,1441859.90
CANADIAN NORTH,1064038.74
PAL AEROSPACE,592247.89
SIMPLEX GRINNELL,577222.08
DST CONSULTING ENGINEERS,531444.18
GREAT SLAVE HELICOPTERS,482849.40
EXP SERVICES,396072.09
FIRST AIR,319473.74
CARLETON UNIVERSITY,278783.60
AIR TINDI,274048.56
CANADIAN HELICOPTERS,261676.42
STANTEC,259939.07
AON REED STENHOUSE,259580.02
SAMSON ASSOCIES,257644.14
KPMG,252179.50
CANADIAN CORPS OF COMMISSIONAIRES,219194.51
DONNA CONA,205938.72
DILLON CONSULTING,200008.87
JOHN HOWARD SOCIETY,199789.44
CANADIAN RED CROSS,192255.95
KENN BOREK AIR,168954.86
CUSTOM HELICOPTERS,167517.25
CASSELMAN WOODCRAFT,166541.61
IHS GLOBAL,142212.20
AMEX BANK OF CANADA,127125.00
TETRA TECH,108964.06
TOTEM OFFISOURCE,107136.74
LANSDOWNE TECHNOLOGIES,102252.58
GENERAL DYNAMICS,94664.00
SAS AIR,89419.74
WSP,79270.07
RAYMOND CHABOT GRANT THORNTON,75291.17
RICOH,73456.71
INFO TECH RESEARCH GROUP,61224.19
BROOKFIELD ASSET MANAGEMENT,50750.00
ROBERT ALLAN,37800.01
GHD,37575.96
OTTAWA BUSINESS INTERIORS OBI,37481.83
SIGN LANGUAGE INTERPRETING,34734.49
PROSCI CANADA,34643.22
GARTNER,34021.10
ATCO,29975.06
EXIT CERTIFIED,28529.41
DELCO AUTOMATION,20960.95
ONTARIO DENTAL ASSOCIATION,17424.00
GLOBAL KNOWLEDGE,14334.05
YELLOWHEAD HELICOPTERS,10468.50
LANGUAGE RESEARCH DEVELOPMENT GROUP,6437.99
REPUBLIC ARCHITECTURE,5951.54
HALPENNY INSURANCE BROKERS,3289.64
PRICEWATERHOUSE COOPERS,0.00
