d_most_recent_category,total,percentage
11_defence,12083427707.379206,0.48418257190512604
1_facilities_and_construction,6597598907.413802,0.26436558274265637
6_industrial_products_and_services,2944967176.8974338,0.11800474305942149
2_professional_services,1676884412.551234,0.06719270618558375
4_medical,842267448.4830191,0.0337496304289081
8_security_and_protection,396492434.0235736,0.015887439482856397
10_office_management,252409013.8585748,0.01011402132421812
9_human_capital,154196793.65931997,0.0061786607195820735
NA,7944407.349457919,3.1833215506999574e-4
7_travel,157524.36944444446,6.311996577657087e-6
