d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
0_other,2019-2020,18645.00,18193.78
1_facilities_and_construction,2017-2018,12401.75,12723.12
1_facilities_and_construction,2018-2019,32883.14,33314.15
1_facilities_and_construction,2019-2020,53936.68,53340.87
1_facilities_and_construction,2020-2021,42587.10,40510.59
10_office_management,2017-2018,259489.16,266232.11
10_office_management,2018-2019,662007.06,670300.54
10_office_management,2019-2020,1127618.14,1106847.91
10_office_management,2020-2021,286448.10,271623.89
10_office_management,2021-2022,396710.72,355838.61
2_professional_services,2017-2018,3090491.15,3170989.72
2_professional_services,2018-2019,3031435.45,3079865.64
2_professional_services,2019-2020,4206247.42,4158994.81
2_professional_services,2020-2021,9251252.36,8797156.59
2_professional_services,2021-2022,8699147.40,7103788.95
3_information_technology,2017-2018,4125862.02,4232009.23
3_information_technology,2018-2019,3208666.20,3249554.47
3_information_technology,2019-2020,3851146.63,3809819.84
3_information_technology,2020-2021,7400944.05,7046250.62
3_information_technology,2021-2022,6893429.73,5477629.78
4_medical,2020-2021,16950.00,16113.86
4_medical,2021-2022,16950.00,13259.39
5_transportation_and_logistics,2017-2018,22189.99,22783.30
5_transportation_and_logistics,2018-2019,75000.00,75880.74
5_transportation_and_logistics,2019-2020,24860.00,24529.67
5_transportation_and_logistics,2020-2021,130608.50,124785.10
6_industrial_products_and_services,2017-2018,16950.00,17389.23
6_industrial_products_and_services,2019-2020,200101.64,199450.22
8_security_and_protection,2020-2021,12995.00,12353.96
8_security_and_protection,2021-2022,16950.00,13259.39
9_human_capital,2017-2018,619327.03,635065.76
9_human_capital,2018-2019,930504.03,942940.29
9_human_capital,2019-2020,1116005.70,1103959.78
9_human_capital,2020-2021,1498231.04,1425420.44
9_human_capital,2021-2022,1550322.72,1224966.59
