d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,2912185.61,2986705.25
it_consulting_services,2018-2019,6017422.52,6104845.46
it_consulting_services,2019-2020,6389249.33,6336936.15
it_consulting_services,2020-2021,6386881.68,6071138.08
it_consulting_services,2021-2022,6453659.88,5990793.54
it_devices_equipment,2017-2018,627869.54,642848.90
it_devices_equipment,2018-2019,1866066.89,1887548.91
it_devices_equipment,2019-2020,1900856.12,1874512.67
it_devices_equipment,2020-2021,570891.52,540465.58
it_devices_equipment,2021-2022,1267180.84,1155335.89
it_other,2017-2018,77901.89,79827.95
it_other,2018-2019,270540.35,274000.89
it_other,2019-2020,64090.30,63515.15
it_other,2020-2021,99624.45,94686.88
it_other,2021-2022,76094.46,70080.56
it_software_licensing,2017-2018,1012582.75,1038277.83
it_software_licensing,2018-2019,1803696.26,1831611.70
it_software_licensing,2019-2020,2706840.75,2673481.46
it_software_licensing,2020-2021,2446045.92,2324743.03
it_software_licensing,2021-2022,2629650.93,2434249.38
