d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,269730.25,276405.87
1_facilities_and_construction,2018-2019,449135.52,455335.37
1_facilities_and_construction,2019-2020,618076.16,612868.55
1_facilities_and_construction,2020-2021,1116695.03,1059966.79
1_facilities_and_construction,2021-2022,1350899.12,1263526.31
10_office_management,2021-2022,103886.22,94525.21
11_defence,2017-2018,6441421.32,6596476.38
11_defence,2018-2019,15009980.23,15175553.60
11_defence,2019-2020,8936624.68,8811498.84
11_defence,2020-2021,12407034.89,11709610.75
11_defence,2021-2022,3418299.18,3097892.10
2_professional_services,2017-2018,1671760.83,1715020.84
2_professional_services,2018-2019,1011094.50,1031152.09
2_professional_services,2019-2020,82566.50,81625.72
2_professional_services,2020-2021,12629.62,11916.96
2_professional_services,2021-2022,110650.73,100939.15
3_information_technology,2017-2018,75681686.43,77507900.58
3_information_technology,2018-2019,66460422.56,67444224.43
3_information_technology,2019-2020,57128093.36,56323813.64
3_information_technology,2020-2021,55480357.29,52604797.29
3_information_technology,2021-2022,39920921.63,36975968.56
5_transportation_and_logistics,2017-2018,80514.00,82411.88
5_transportation_and_logistics,2018-2019,114218.16,115672.94
5_transportation_and_logistics,2019-2020,43368.57,42319.03
5_transportation_and_logistics,2020-2021,15066.32,14186.72
5_transportation_and_logistics,2021-2022,107875.76,102003.13
6_industrial_products_and_services,2017-2018,2879962.18,2951320.87
6_industrial_products_and_services,2018-2019,1033082.28,1046848.27
6_industrial_products_and_services,2019-2020,1323667.48,1308064.87
6_industrial_products_and_services,2020-2021,1550505.25,1473977.67
6_industrial_products_and_services,2021-2022,1885632.64,1738482.84
9_human_capital,2017-2018,23875.90,24492.23
9_human_capital,2018-2019,50708.66,51630.26
9_human_capital,2019-2020,71116.17,71018.47
9_human_capital,2021-2022,148214.24,137002.22
