owner_org,d_fiscal_year,total
cbsa-asfc,2018-2019,21391.91
cbsa-asfc,2019-2020,18809.980000000003
cbsa-asfc,2020-2021,98947.47930473028
cfia-acia,2017-2018,24999.45
cgc-ccg,2017-2018,18897.04
csc-scc,2017-2018,150637.01698630137
csc-scc,2018-2019,10393.79
csc-scc,2019-2020,65744
csc-scc,2020-2021,148443.45
dfatd-maecd,2019-2020,183427.96
dfo-mpo,2017-2018,33817.252966869506
dfo-mpo,2018-2019,377444.1970331305
dfo-mpo,2019-2020,85029.09
dfo-mpo,2020-2021,213678.99000000002
dnd-mdn,2017-2018,2153847.945047159
dnd-mdn,2018-2019,1553915.4946175532
dnd-mdn,2019-2020,646529.8913241402
dnd-mdn,2020-2021,1217379.1756515082
ec,2017-2018,44688.48284634761
ec,2018-2019,36046.880000000005
ec,2019-2020,23401.950000000004
isc-sac,2017-2018,74879.18000000001
isc-sac,2018-2019,12070.02
nrc-cnrc,2019-2020,45896.39
nrcan-rncan,2017-2018,11681.230000000001
pc,2017-2018,14425.31
pc,2018-2019,22253.480000000003
phac-aspc,2018-2019,96869.82
phac-aspc,2019-2020,683413.165570164
phac-aspc,2020-2021,2481786.4737652303
pwgsc-tpsgc,2019-2020,12812.27
rcmp-grc,2017-2018,453215.37
rcmp-grc,2018-2019,119796.66
rcmp-grc,2019-2020,127684.8070856783
rcmp-grc,2020-2021,264893.426247655
tc,2017-2018,12767
tc,2020-2021,20907.6
