d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,36306.20
1_facilities_and_construction,2018-2019,141915.56
1_facilities_and_construction,2019-2020,268641.20
1_facilities_and_construction,2020-2021,211306.63
1_facilities_and_construction,2021-2022,199543.95
10_office_management,2017-2018,991218.11
10_office_management,2018-2019,921973.86
10_office_management,2019-2020,1817258.36
10_office_management,2020-2021,420467.62
10_office_management,2021-2022,645298.46
2_professional_services,2017-2018,3293109.43
2_professional_services,2018-2019,4426901.44
2_professional_services,2019-2020,5508351.27
2_professional_services,2020-2021,4536952.39
2_professional_services,2021-2022,4860667.26
3_information_technology,2017-2018,12810304.62
3_information_technology,2018-2019,17541026.06
3_information_technology,2019-2020,20721806.01
3_information_technology,2020-2021,21312776.86
3_information_technology,2021-2022,19053835.58
4_medical,2021-2022,465.16
7_travel,2019-2020,37375.24
7_travel,2020-2021,89749.76
7_travel,2021-2022,18348.33
8_security_and_protection,2017-2018,42380.62
8_security_and_protection,2018-2019,320629.02
8_security_and_protection,2019-2020,269133.68
8_security_and_protection,2020-2021,370242.21
8_security_and_protection,2021-2022,577880.58
9_human_capital,2017-2018,2678547.97
9_human_capital,2018-2019,2559448.74
9_human_capital,2019-2020,3284797.62
9_human_capital,2020-2021,2710136.02
9_human_capital,2021-2022,2835895.21
