d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
0_other,2018-2019,37998.22,38706.08
1_facilities_and_construction,2017-2018,43565.39,44592.32
1_facilities_and_construction,2018-2019,82053.78,82890.19
1_facilities_and_construction,2019-2020,8702.69,8712.39
1_facilities_and_construction,2020-2021,120343.06,114505.67
1_facilities_and_construction,2021-2022,497843.08,228504.95
10_office_management,2017-2018,104718.61,107362.95
10_office_management,2018-2019,387824.66,392291.78
10_office_management,2019-2020,34057.18,33374.77
10_office_management,2020-2021,82860.14,78022.60
10_office_management,2021-2022,401317.79,341354.01
11_defence,2017-2018,374484.62,383832.97
11_defence,2018-2019,902991.69,913948.82
11_defence,2019-2020,499750.19,490496.19
11_defence,2020-2021,1045966.03,987522.03
11_defence,2021-2022,852801.74,433353.13
2_professional_services,2017-2018,271354.69,278356.93
2_professional_services,2018-2019,341892.84,346981.47
2_professional_services,2019-2020,322495.04,317188.57
2_professional_services,2020-2021,44750.87,42431.68
2_professional_services,2021-2022,110528.70,77353.18
3_information_technology,2017-2018,6246266.32,6401107.58
3_information_technology,2018-2019,5975783.75,6055332.48
3_information_technology,2019-2020,4414421.15,4345583.79
3_information_technology,2020-2021,4114506.58,3904152.93
3_information_technology,2021-2022,5814549.69,3135784.14
5_transportation_and_logistics,2018-2019,501.71,506.65
5_transportation_and_logistics,2019-2020,61208.50,60691.96
6_industrial_products_and_services,2017-2018,553980.17,567038.63
6_industrial_products_and_services,2018-2019,50386.44,50890.41
6_industrial_products_and_services,2019-2020,128349.29,125520.38
6_industrial_products_and_services,2020-2021,729748.23,690923.52
6_industrial_products_and_services,2021-2022,527674.33,439578.86
9_human_capital,2021-2022,9734.05,0.00
