d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,1623558.56,1666908.69
1_facilities_and_construction,2018-2019,2674411.24,2718780.18
1_facilities_and_construction,2019-2020,1066537.92,1058575.05
1_facilities_and_construction,2020-2021,767455.38,726983.44
1_facilities_and_construction,2021-2022,1827329.13,1697144.27
11_defence,2017-2018,10155.17,10399.88
2_professional_services,2017-2018,81285.22,83387.22
2_professional_services,2018-2019,81030.68,82491.28
2_professional_services,2019-2020,292495.64,290721.09
6_industrial_products_and_services,2017-2018,36999.03,37883.91
6_industrial_products_and_services,2018-2019,178494.95,180431.23
