d_vendor_name,d_fiscal_year,total,total_constant_2019_dollars
ADVANCED CHIPPEWA TECHNOLOGIES,2021-2022,21975.68,20623.89
ALTIS HUMAN RESOURCES,2017-2018,2628.92,2690.88
ALTIS HUMAN RESOURCES,2018-2019,192339.25,195276.40
ALTIS HUMAN RESOURCES,2019-2020,122489.54,120871.12
ALTIS HUMAN RESOURCES,2020-2021,152619.53,144686.91
ALTIS HUMAN RESOURCES,2021-2022,243276.28,144012.86
ASOKAN BUSINESS INTERIORS,2017-2018,15958.77,16334.95
ASOKAN BUSINESS INTERIORS,2018-2019,31802.72,32115.63
ASOKAN BUSINESS INTERIORS,2021-2022,19481.20,18042.88
BDO CANADA,2019-2020,5148.25,5023.66
BDO CANADA,2020-2021,50786.75,48281.46
BELL CANADA,2019-2020,119718.77,118708.47
BELL CANADA,2020-2021,102406.79,97351.41
BELL CANADA,2021-2022,107755.37,84293.21
BLACKBERRY,2020-2021,22090.98,21003.71
BLACKBERRY,2021-2022,15490.82,14647.51
CANADIAN CORPS OF COMMISSIONAIRES,2020-2021,10735.00,10209.83
CANADIAN CORPS OF COMMISSIONAIRES,2021-2022,12718.15,9948.96
CISTEL TECHNOLOGY,2018-2019,23987.64,24254.53
CSDC SYSTEMS,2021-2022,12109.45,11450.23
DECISIVE TECHNOLOGIES,2021-2022,36914.01,34644.68
DELL COMPUTER,2020-2021,10485.27,10046.98
DONNA CONA,2017-2018,370079.98,378901.58
DONNA CONA,2018-2019,30413.52,30985.53
DONNA CONA,2021-2022,87654.10,81576.46
ECLIPSYS SOLUTIONS,2019-2020,7293.43,7193.08
ECLIPSYS SOLUTIONS,2020-2021,12162.11,11563.75
ECLIPSYS SOLUTIONS,2021-2022,4312.88,4070.15
ECOLE DE LANGUES ABCE,2018-2019,14815.50,15007.91
ECOLE DE LANGUES ABCE,2021-2022,13500.00,8890.56
EXCEL HUMAN RESOURCES,2018-2019,11745.12,11860.68
EXCEL HUMAN RESOURCES,2019-2020,198314.81,195303.27
EXCEL HUMAN RESOURCES,2020-2021,360274.39,341968.25
EXCEL HUMAN RESOURCES,2021-2022,243872.76,215372.50
GARTNER,2019-2020,81661.34,80491.06
GARTNER,2020-2021,59956.10,57034.40
GARTNER,2021-2022,70728.71,55249.55
GLOBAL UPHOLSTERY,2018-2019,48773.62,49832.96
GOSS GILROY,2019-2020,105542.00,104105.13
IBM CANADA,2021-2022,909016.07,516570.59
IDS SYSTEMS CONSULTANTS,2019-2020,4744.64,4635.29
IDS SYSTEMS CONSULTANTS,2020-2021,17317.93,16463.64
IDS SYSTEMS CONSULTANTS,2021-2022,17317.93,13547.20
INFO TECH RESEARCH GROUP,2018-2019,40031.41,40477.58
INFO TECH RESEARCH GROUP,2019-2020,16618.64,16471.71
INFO TECH RESEARCH GROUP,2020-2021,10230.51,9690.07
INFO TECH RESEARCH GROUP,2021-2022,17186.34,13448.95
INTEGRA NETWORKS,2018-2019,48816.00,49444.52
LAURENTIAN TECHNOLOGIES,2018-2019,14011.21,14149.07
LEO PISCES SERVICES GROUP,2018-2019,24814.80,25068.58
LEXISNEXIS CANADA,2018-2019,22706.22,23059.34
LEXISNEXIS CANADA,2019-2020,22706.22,22514.60
LEXISNEXIS CANADA,2020-2021,25892.82,24615.53
LEXISNEXIS CANADA,2021-2022,29355.71,22963.93
LUMINA IT,2017-2018,24995.60,25584.80
LUMINA IT,2018-2019,24860.00,25172.14
LUMINA IT,2019-2020,23984.25,23403.82
MICROSOFT CANADA,2018-2019,78286.22,79083.68
MICROSOFT CANADA,2019-2020,176322.58,173936.27
MICROSOFT CANADA,2020-2021,216279.11,205610.12
MICROSOFT CANADA,2021-2022,513778.33,432916.40
MOBILE RESOURCE GROUP,2021-2022,24015.90,12735.40
MODIS CANADA,2017-2018,81481.51,83592.96
MODIS CANADA,2018-2019,81481.51,82748.67
MODIS CANADA,2019-2020,27234.92,27294.91
NISHA TECHONOLOGIES,2018-2019,108914.24,109985.85
OPENTEXT,2019-2020,5929.41,5785.91
OPENTEXT,2020-2021,30482.16,28978.49
OPENTEXT,2021-2022,30482.16,23845.12
ORACLE CANADA,2018-2019,464367.02,474452.82
ORACLE CANADA,2019-2020,225412.22,224135.76
ORACLE CANADA,2020-2021,78120.27,73689.34
ORACLE CANADA,2021-2022,79323.91,38925.05
PURESPIRIT SOLUTIONS,2021-2022,38157.84,35055.20
QMR,2021-2022,76659.20,54046.71
R R INTERNATIONAL TRANSLATION,2019-2020,23717.63,23143.65
R R INTERNATIONAL TRANSLATION,2020-2021,121928.65,115913.94
R R INTERNATIONAL TRANSLATION,2021-2022,121928.65,95380.47
RHEA,2019-2020,24973.00,24433.22
RHEA,2020-2021,13560.00,12768.34
SDL INTERNATIONAL CANADA,2018-2019,24916.50,25161.65
SHARP ELECTRONICS,2017-2018,2994.16,3071.75
SHARP ELECTRONICS,2018-2019,2994.16,3040.72
SHARP ELECTRONICS,2019-2020,3002.36,2977.02
SHARP ELECTRONICS,2020-2021,2994.16,2846.46
SHARP ELECTRONICS,2021-2022,2994.16,2342.22
SOFTCHOICE,2018-2019,118162.68,120026.97
SOFTCHOICE,2019-2020,44128.80,43145.47
SOFTCHOICE,2020-2021,234317.49,222411.15
SOFTCHOICE,2021-2022,164548.58,132770.02
SOFTSIM TECHNOLOGIES,2019-2020,53896.67,53023.23
THE AIM GROUP,2018-2019,18193.00,18372.00
THE AIM GROUP,2020-2021,99767.70,94654.90
THE AIM GROUP,2021-2022,14128.77,0.00
TOTEM OFFISOURCE,2019-2020,19225.87,18797.44
TOTEM OFFISOURCE,2021-2022,24153.75,22089.59
TRM TECHNOLOGIES,2018-2019,60384.38,61044.13
TURTLE ISLAND STAFFING,2020-2021,10285.46,9684.98
TURTLE ISLAND STAFFING,2021-2022,45394.91,32380.46
WORKDYNAMICS TECHNOLOGIES,2021-2022,12354.74,11682.16
XEROX,2017-2018,49146.27,50419.81
XEROX,2018-2019,49146.27,49910.57
XEROX,2019-2020,49280.92,48865.04
XEROX,2020-2021,49146.27,46721.90
XEROX,2021-2022,49146.27,38445.39
ZYCOM,2017-2018,263044.43,269244.93
ZYCOM,2018-2019,117169.70,118322.53
ZYCOM,2020-2021,365072.60,349294.04
ZYCOM,2021-2022,5977.27,910.27
