d_vendor_name,d_fiscal_year,total
ADVANCED BUSINESS INTERIORS,2018-2019,16695.645756457565
ADVANCED BUSINESS INTERIORS,2019-2020,65741.59424354244
ADVANCED CHIPPEWA TECHNOLOGIES,2017-2018,12428.19
CGI,2017-2018,24860
CGI,2018-2019,24860
CGI,2020-2021,12026.7
CISTEL TECHNOLOGY,2017-2018,40228
CNW GROUP,2017-2018,10170
CONTRACT COMMUNITY,2017-2018,59101.259999999995
ELSEVIER,2018-2019,76756.01294117648
ELSEVIER,2019-2020,16447.71705882353
EXCEL HUMAN RESOURCES,2017-2018,45979.35964162553
EXCEL HUMAN RESOURCES,2018-2019,39409.10035837447
EXCEL HUMAN RESOURCES,2019-2020,75809.72249999999
EXCEL HUMAN RESOURCES,2020-2021,36491.51375
GLOBAL UPHOLSTERY,2019-2020,17836.19427184466
GLOBAL UPHOLSTERY,2020-2021,138515.1257281553
GOSS GILROY,2017-2018,144960.9307875895
GOSS GILROY,2018-2019,121826.46879305565
GOSS GILROY,2019-2020,51037.10102236991
GOSS GILROY,2020-2021,5510.879396984924
NITAM SOLUTIONS,2019-2020,187497.13999999998
OPENFRAME TECHNOLOGIES,2017-2018,19988.80093614176
OPENFRAME TECHNOLOGIES,2018-2019,19988.80093614176
OPENFRAME TECHNOLOGIES,2019-2020,20043.56477432297
OPENFRAME TECHNOLOGIES,2020-2021,19988.80093614176
ORACLE CANADA,2017-2018,24348.950767123286
ORACLE CANADA,2018-2019,52077.909232876715
PRA,2017-2018,28588.512931034486
PRA,2018-2019,118019.06469242231
PRA,2019-2020,242832.80237654317
PRA,2020-2021,26216
PROLOGIC SYSTEMS,2018-2019,35295.99
QUANTUM MANAGEMENT SERVICES,2017-2018,71912.64478991595
QUANTUM MANAGEMENT SERVICES,2018-2019,63812.62521008403
ST JOSEPH PRINT GROUP,2017-2018,36320.472988505746
ST JOSEPH PRINT GROUP,2018-2019,5909.770114942528
UNIVERSITY OF BRITISH COLUMBIA,2019-2020,5531.0526315789475
UNIVERSITY OF BRITISH COLUMBIA,2020-2021,22492.947368421053
YORK UNIVERSITY,2019-2020,2273.9722972972972
YORK UNIVERSITY,2020-2021,10670.177702702702
